timeInRun,active rule
706551,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706552,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706553,Minimum Flow - 50 cfs
706554,GC:Max Con Flow - at Blue River
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,GC
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,Min Flow - at Blue River
706613,GC
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,GC
706621,GC
706622,GC
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC:Vida Max Flood
706639,GC:Vida Max Flood
706640,GC:Max Evacuation Release
706641,GC:Vida Max Flood
706642,GC:Vida Max Flood
706643,GC:Vida Max Flood
706644,GC:Vida Max Flood
706645,GC:Vida Max Flood
706646,GC:Vida Max Flood
706647,GC:Vida Max Flood
706648,GC:Vida Max Flood
706649,GC:Vida Max Flood
706650,GC:Max Evacuation Release
706651,GC:Vida Max Flood
706652,GC:Max Evacuation Release
706653,GC:Max Evacuation Release
706654,GC:Max Evacuation Release
706655,GC:Max Evacuation Release
706656,GC:Max Evacuation Release
706657,GC:Max Evacuation Release
706658,GC:Max Evacuation Release
706659,GC:Max Evacuation Release
706660,GC
706661,GC
706662,GC
706663,GC
706664,GC
706665,GC
706666,GC
706667,GC
706668,GC
706669,Daily BiOp Max Rate Decrease
706670,Daily BiOp Max Rate Decrease
706671,Min Flow - at Blue River
706672,Min Flow - at Blue River
706673,Min Flow - at Blue River
706674,Min Flow - at Blue River
706675,Min Flow - at Blue River
706676,Min Flow - at Blue River
706677,Min Flow - at Blue River
706678,Min Flow - at Blue River
706679,Min Flow - at Blue River
706680,Min Flow - at Blue River
706681,Min Flow - at Blue River
706682,Min Flow - at Blue River
706683,Min Flow - at Blue River
706684,Min Flow - at Blue River
706685,Min Flow - at Blue River
706686,Min Flow - at Blue River
706687,Min Flow - at Blue River
706688,Min Flow - at Blue River
706689,Min Flow - at Blue River
706690,Min Flow - at Blue River
706691,Min Flow - at Blue River
706692,Min Flow - at Blue River
706693,Min Flow - at Blue River
706694,Min Flow - at Blue River
706695,Min Flow - at Blue River
706696,Min Flow - at Blue River
706697,Min Flow - at Blue River
706698,Min Flow - at Blue River
706699,Min Flow - at Blue River
706700,Min Flow - at Blue River
706701,Min Flow - at Blue River
706702,Min Flow - at Blue River
706703,GC
706704,GC
706705,GC
706706,GC
706707,GC
706708,GC
706709,GC
706710,GC
706711,GC
706712,GC
706713,GC
706714,GC
706715,GC
706716,GC
706717,GC
706718,GC
706719,GC
