timeInRun,elev_m,inflow_cms,outlfow_cms
706551,235.09,1.97,1.42
706552,235.06,1.6,2.76
706553,234.99,0.81,2.83
706554,234.93,0.7,2.83
706555,234.86,0.7,2.83
706556,234.75,0.66,4.39
706557,234.54,0.69,7.44
706558,234.34,0.81,7.56
706559,234.13,2,8.74
706560,233.93,2.78,9.53
706561,233.72,8.11,14.57
706562,233.48,2.9,9.76
706563,233.23,2.07,9.23
706564,232.99,1.37,8.29
706565,232.75,1.21,7.96
706566,232.5,1.13,7.72
706567,232.26,1.09,7.52
706568,232.01,1.84,8.07
706569,231.77,3.18,9.27
706570,231.43,1.8,9.98
706571,231.09,1.6,9.36
706572,230.75,1.33,8.65
706573,230.41,1.13,8.01
706574,230.07,1.05,7.49
706575,229.74,1.01,7.07
706576,229.4,1.92,7.61
706577,229.06,1.8,7.12
706578,229,1.8,2.72
706579,228.94,1.89,2.81
706580,228.87,1.42,2.31
706581,228.81,1.18,2.05
706582,228.75,1.1,1.97
706583,228.69,1.18,2.05
706584,228.63,1.3,2.17
706585,228.63,1.65,1.65
706586,228.63,1.89,1.89
706587,228.63,2.95,2.95
706588,228.63,2.48,2.48
706589,228.63,1.97,1.97
706590,228.63,9.5,9.5
706591,228.63,10.25,10.25
706592,228.61,4.88,5.13
706593,228.63,5.16,4.92
706594,228.63,7.1,7.1
706595,228.63,5.44,5.44
706596,228.63,4.02,4.02
706597,228.63,3.74,3.74
706598,228.63,3.86,3.86
706599,228.63,3.39,3.39
706600,228.63,5.63,5.63
706601,228.63,5.16,5.16
706602,228.63,4.1,4.1
706603,228.63,3.31,3.31
706604,228.63,2.83,2.83
706605,228.63,2.56,2.56
706606,228.63,2.4,2.4
706607,228.63,2.2,2.2
706608,228.63,2.05,2.05
706609,228.63,1.94,1.94
706610,228.63,1.82,1.82
706611,228.63,1.74,1.74
706612,228.63,1.66,1.66
706613,228.63,1.62,1.62
706614,228.63,2.29,2.29
706615,228.63,2.76,2.76
706616,228.63,3.76,3.76
706617,228.63,3.08,3.08
706618,228.63,4.32,4.32
706619,228.63,15.24,15.24
706620,228.97,33.7,28.74
706621,228.63,16.45,21.41
706622,228.62,10.57,10.7
706623,228.63,7.46,7.33
706624,228.63,5.77,5.77
706625,228.63,4.83,4.83
706626,228.63,3.88,3.88
706627,228.63,3.73,3.73
706628,228.63,3.33,3.33
706629,228.63,3.08,3.08
706630,228.63,2.86,2.86
706631,228.63,2.77,2.77
706632,228.63,2.69,2.69
706633,228.63,2.85,2.85
706634,228.63,2.76,2.76
706635,228.63,5.24,5.24
706636,228.63,5.7,5.7
706637,228.63,6.47,6.47
706638,228.63,8.58,8.58
706639,228.63,12.87,12.87
706640,228.63,11.09,11.09
706641,229.4,40.32,28.74
706642,228.63,24.07,35.65
706643,231.47,81.35,28.74
706644,231,57.68,68.28
706645,229.23,28.68,61.81
706646,228.63,21.4,30.27
706647,228.63,21.4,21.4
706648,228.63,28.7,28.7
706649,229.28,38.45,28.74
706650,231.41,79.39,37.79
706651,233.57,66.37,9
706652,235.78,108.98,35.09
706653,235.44,60.07,72.89
706654,234.49,40.35,72.17
706655,233.8,42.72,65.39
706656,233.23,33.73,50.2
706657,232.81,24.98,36.87
706658,232.57,22.3,28.74
706659,232.21,19.35,28.74
706660,231.73,16.51,28.74
706661,231.11,14.3,28.74
706662,230.34,12.69,28.74
706663,229.36,11.43,28.74
706664,228.63,10.32,21.36
706665,228.6,9.14,9.58
706666,228.63,8.87,8.43
706667,228.77,7.53,5.53
706668,228.91,6.7,4.69
706669,229.05,6.94,4.82
706670,229.19,6.51,4.38
706671,229.33,5.59,3.35
706672,229.47,5.12,2.86
706673,229.61,4.72,2.36
706674,229.75,4.92,2.52
706675,229.89,4.81,2.33
706676,230.03,7.02,4.48
706677,230.22,11,7.59
706678,230.4,8.72,5.21
706679,230.58,7.61,3.94
706680,230.76,6.79,3.04
706681,230.95,7.73,3.82
706682,231.13,8.84,4.82
706683,231.31,10.62,6.49
706684,231.47,10.46,6.78
706685,231.63,8.37,4.65
