timeInRun,active rule
706551,Unctrl
706552,Min Flow - at Albany by Water Year Type
706553,Min Flow - at Salem:Max Con Flow - at Cottage Grove
706554,Min Flow - at Salem:Max Con Flow - at Cottage Grove
706555,Min Flow - at Salem:Max Con Flow - at Cottage Grove
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,Daily BiOp Max Rate of Decrease
706593,GC
706594,GC
706595,GC
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,GC
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,ZB:Maximum Daily rate of increase from WCM
706620,GC:Max Evacuation Release
706621,GC
706622,Daily BiOp Max Rate of Decrease
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,GC:Max Evacuation Release
706642,GC
706643,GC:Max Evacuation Release
706644,GC:Max Bankfull Flow - at Goshen
706645,GC:Max Bankfull Flow - at Goshen
706646,GC
706647,GC
706648,GC
706649,GC:Max Evacuation Release
706650,GC:Max Bankfull Flow - at Goshen
706651,GC:Max Bankfull Flow - at Goshen
706652,000 cfs Max
706653,GC:Max Bankfull Flow - at Goshen
706654,GC:Max Bankfull Flow - at Goshen
706655,GC:Max Bankfull Flow - at Goshen
706656,GC:Max Bankfull Flow - at Goshen
706657,GC:Max Bankfull Flow - at Goshen
706658,GC:Max Bankfull Flow - at Goshen
706659,GC:Max Bankfull Flow - at Goshen
706660,GC:Max Bankfull Flow - at Goshen
706661,GC:Max Bankfull Flow - at Goshen
706662,GC:Max Bankfull Flow - at Goshen
706663,GC:Max Bankfull Flow - at Goshen
706664,GC
706665,Daily BiOp Max Rate of Decrease:ZB
706666,GC
706667,GC
706668,GC
706669,GC
706670,GC
706671,GC
706672,GC
706673,GC
706674,GC
706675,GC
706676,GC
706677,GC
706678,GC
706679,GC
706680,GC
706681,GC
706682,GC
706683,GC
706684,GC
706685,GC
706686,GC
706687,GC
706688,GC
706689,GC
706690,GC
706691,GC
706692,GC
706693,GC
706694,GC
706695,GC
706696,GC
706697,GC
706698,GC
706699,GC
706700,GC
706701,GC
706702,GC
706703,GC
706704,GC
706705,GC
706706,GC
706707,GC
706708,GC
706709,GC
706710,GC
706711,GC
706712,GC
706713,GC
706714,GC
706715,Min flow from Cottage Grove
706716,Min flow from Cottage Grove
706717,Min flow from Cottage Grove
706718,Min flow from Cottage Grove
706719,Min flow from Cottage Grove
706720,Min flow from Cottage Grove
706721,Min flow from Cottage Grove
706722,Min flow from Cottage Grove
706723,Min flow from Cottage Grove
706724,Min flow from Cottage Grove
706725,GC
706726,GC
706727,GC
706728,GC
706729,GC
706730,GC
706731,GC
706732,GC
706733,GC
706734,GC
706735,GC
706736,GC
706737,GC
706738,GC
706739,GC
706740,GC
706741,GC
706742,GC
706743,GC
706744,GC
706745,Min flow from Cottage Grove
706746,Min flow from Cottage Grove
706747,Min flow from Cottage Grove
706748,Min flow from Cottage Grove
706749,Min Flow - at Salem
706750,Min Flow - at Salem
706751,Min Flow - at Salem
706752,Min flow from Cottage Grove
706753,Min Flow - at Salem
706754,Min Flow - at Salem
706755,Min Flow - at Salem
706756,Min flow from Cottage Grove
706757,Min flow from Cottage Grove
706758,Min flow from Cottage Grove
706759,Min flow from Cottage Grove
706760,Min flow from Cottage Grove
706761,Min flow from Cottage Grove
706762,Min flow from Cottage Grove
706763,Min flow from Cottage Grove
706764,Min flow from Cottage Grove
706765,GC
706766,GC
706767,GC
706768,GC
706769,GC
706770,Min flow from Cottage Grove
706771,Min flow from Cottage Grove
706772,Min flow from Cottage Grove
706773,Min flow from Cottage Grove
706774,Min flow from Cottage Grove
706775,Min flow from Cottage Grove
706776,Min flow from Cottage Grove
706777,Min flow from Cottage Grove
706778,Min flow from Cottage Grove
706779,GC
706780,ZB:Max Con Flow - at Cottage Grove
706781,ZB:Max Con Flow - at Cottage Grove
706782,ZB:Max Con Flow - at Cottage Grove
706783,GC
706784,GC
706785,GC
706786,GC
706787,GC
706788,GC
706789,GC
706790,GC
706791,GC
706792,GC
706793,GC
706794,GC
706795,GC
706796,GC
706797,GC
706798,GC
706799,GC
706800,GC
706801,GC
706802,GC
706803,GC
706804,GC
706805,GC
706806,GC
706807,GC
706808,GC
706809,GC
706810,GC
706811,GC
706812,GC
706813,GC
706814,GC
706815,GC
706816,Min flow from Cottage Grove
706817,Min flow from Cottage Grove
706818,Min flow from Cottage Grove
706819,Min flow from Cottage Grove
706820,Min flow from Cottage Grove
706821,Min flow from Cottage Grove
706822,Min flow from Cottage Grove
706823,GC
706824,GC
706825,GC
706826,Min flow from Cottage Grove
706827,Min flow from Cottage Grove
706828,Min flow from Cottage Grove
706829,Min flow from Cottage Grove
706830,Min flow from Cottage Grove
706831,GC
706832,Min flow from Cottage Grove
706833,Min flow from Cottage Grove
706834,Min flow from Cottage Grove
706835,Min flow from Cottage Grove
706836,Min Flow - at Salem
706837,Min flow from Cottage Grove
706838,Min Flow - at Albany by Water Year Type
706839,Min Flow - at Albany by Water Year Type
706840,Min Flow - at Albany by Water Year Type
706841,Min Flow - at Albany by Water Year Type
706842,Min Flow - at Albany by Water Year Type
706843,Min Flow - at Albany by Water Year Type
706844,Min Flow - at Albany by Water Year Type
706845,Min Flow - at Albany by Water Year Type
706846,Min Flow - at Albany by Water Year Type
706847,Min Flow - at Albany by Water Year Type
706848,Min Flow - at Albany by Water Year Type
706849,Min Flow - at Salem
706850,Min Flow - at Albany by Water Year Type
706851,Min Flow - at Albany by Water Year Type
706852,Min Flow - at Albany by Water Year Type
706853,Min Flow - at Albany by Water Year Type
706854,Min Flow - at Albany by Water Year Type
706855,Min Flow - at Albany by Water Year Type
706856,Min Flow - at Albany by Water Year Type
706857,Min Flow - at Albany by Water Year Type
706858,Min Flow - at Albany by Water Year Type
706859,Min Flow - at Albany by Water Year Type
706860,Min Flow - at Albany by Water Year Type
706861,Min Flow - at Albany by Water Year Type
706862,Min Flow - at Albany by Water Year Type
706863,Min Flow - at Albany by Water Year Type
706864,Min Flow - at Albany by Water Year Type
706865,Min Flow - at Albany by Water Year Type
706866,Min Flow - at Albany by Water Year Type
706867,Min Flow - at Albany by Water Year Type
706868,Min Flow - at Albany by Water Year Type
706869,Min Flow - at Albany by Water Year Type
706870,Min Flow - at Albany by Water Year Type
706871,Min Flow - at Albany by Water Year Type
706872,Min Flow - at Albany by Water Year Type
706873,Min Flow - at Albany by Water Year Type
706874,Min Flow - at Albany by Water Year Type
706875,Min Flow - at Albany by Water Year Type
706876,Min Flow - at Albany by Water Year Type
706877,Min Flow - at Albany by Water Year Type
706878,Min Flow - at Albany by Water Year Type
706879,Min Flow - at Albany by Water Year Type
706880,Min Flow - at Albany by Water Year Type
706881,Min Flow - at Albany by Water Year Type:Max Con Flow - at Cottage Grove
706882,Min Flow - at Albany by Water Year Type
706883,Min Flow - at Albany by Water Year Type
706884,Min Flow - at Albany by Water Year Type
706885,Min Flow - at Salem
706886,Min Flow - at Albany by Water Year Type
706887,Min Flow - at Albany by Water Year Type:Max Con Flow - at Cottage Grove
706888,Min Flow - at Albany by Water Year Type
706889,Min Flow - at Salem:Max Con Flow - at Cottage Grove
706890,Min Flow - at Albany by Water Year Type:Max Con Flow - at Cottage Grove
706891,Min Flow - at Albany by Water Year Type
706892,Min Flow - at Albany by Water Year Type
706893,Min Flow - at Albany by Water Year Type
706894,Min Flow - at Albany by Water Year Type
706895,Min Flow - at Salem
706896,GC
706897,GC
706898,GC
706899,GC
706900,GC
706901,GC
706902,GC
706903,GC
706904,GC
706905,GC
706906,GC
706907,GC
706908,GC
706909,GC
706910,GC
706911,GC
706912,GC
706913,GC
706914,GC
706915,GC
706916,GC
706917,GC
706918,GC
706919,GC
706920,GC
706921,GC
706922,GC
706923,GC
706924,GC
706925,GC
706926,GC
706927,GC
706928,GC
706929,GC
706930,GC
706931,GC
706932,GC
706933,GC
706934,GC
706935,GC
706936,GC
706937,GC
706938,GC
706939,GC
706940,GC
706941,GC
706942,Min flow from Cottage Grove
706943,Min flow from Cottage Grove
706944,Min flow from Cottage Grove
706945,Min flow from Cottage Grove
706946,Min flow from Cottage Grove
706947,GC
706948,GC
706949,Min flow from Cottage Grove:ZB
706950,ZB
706951,ZB
706952,ZB
706953,ZB
706954,ZB
706955,ZB
706956,ZB
706957,ZB
706958,ZB
706959,ZB
706960,ZB
706961,ZB
706962,ZB
706963,ZB
706964,ZB
706965,ZB
706966,ZB
706967,ZB
706968,ZB
706969,ZB
706970,ZB
706971,ZB
706972,ZB
706973,ZB
706974,ZB
706975,ZB
706976,ZB
706977,ZB
706978,ZB
706979,GC
706980,GC
706981,GC
706982,GC
706983,GC
706984,GC
706985,Min flow from Cottage Grove
706986,Min flow from Cottage Grove:ZB
706987,ZB
706988,ZB
706989,ZB
706990,ZB
706991,ZB
706992,ZB
706993,ZB
706994,ZB
706995,GC
706996,GC
706997,GC
706998,Daily BiOp Max Rate of Decrease
706999,GC
707000,GC
707001,GC
707002,GC
707003,GC
707004,GC
707005,GC
707006,GC
707007,GC
707008,GC
707009,GC
707010,GC
707011,GC
707012,GC
707013,GC
707014,GC
707015,Min flow from Cottage Grove
707016,Min flow from Cottage Grove
707017,Min flow from Cottage Grove
707018,GC
707019,GC
707020,GC
707021,GC
707022,GC
707023,GC
707024,GC
707025,GC
707026,GC
707027,GC
707028,GC
707029,GC
707030,GC
707031,GC
707032,Daily BiOp Max Rate of Decrease
707033,Daily BiOp Max Rate of Decrease
707034,Min flow from Cottage Grove
707035,GC
707036,GC
707037,GC
707038,GC
707039,GC
707040,GC
707041,GC
707042,GC
707043,GC
707044,GC
707045,GC
707046,GC
707047,GC
707048,GC
707049,GC
707050,GC
707051,GC
707052,GC
707053,GC
707054,GC
707055,GC
707056,GC
707057,GC
707058,GC
707059,GC
707060,GC
707061,GC
707062,GC
707063,GC
707064,GC
707065,GC
707066,GC
707067,GC
707068,GC
707069,GC
707070,GC
707071,GC
707072,GC
707073,GC
707074,GC
707075,GC
707076,GC
707077,GC
707078,GC
707079,GC
707080,GC
707081,GC
707082,GC
707083,GC
707084,GC
707085,GC
707086,GC
707087,GC
707088,GC
707089,GC
707090,GC
707091,GC
707092,GC
707093,GC
707094,GC
707095,GC
707096,GC
707097,GC
707098,GC
707099,GC
707100,GC
707101,GC
707102,GC
707103,GC
707104,GC
707105,GC
707106,GC
707107,GC
707108,GC:Max Evacuation Release
707109,GC:Max Bankfull Flow - at Goshen
707110,GC
707111,GC
707112,GC
707113,GC
707114,GC
707115,GC
707116,GC
707117,GC
707118,GC
707119,GC
707120,GC
707121,GC
707122,GC
707123,GC
707124,GC
707125,GC
707126,GC
707127,GC
707128,GC
707129,GC
707130,GC
707131,GC
707132,GC
707133,GC
707134,GC
707135,GC
707136,GC
707137,GC
707138,GC
707139,GC
707140,GC
707141,GC
707142,GC
707143,ZB:Max Con Flow - at Cottage Grove
707144,ZB:Max Con Flow - at Cottage Grove
707145,ZB:Max Con Flow - at Cottage Grove
707146,ZB:Max Con Flow - at Cottage Grove
707147,GC
707148,ZB:Max Con Flow - at Cottage Grove
707149,ZB:Max Con Flow - at Cottage Grove
707150,GC
707151,GC
707152,GC
707153,GC
707154,GC
707155,GC
707156,GC
707157,GC
707158,GC
707159,GC
707160,GC
707161,GC
707162,GC
707163,GC
707164,ZB:Max Con Flow - at Cottage Grove
707165,ZB:Max Con Flow - at Cottage Grove
707166,ZB:Max Con Flow - at Cottage Grove
707167,ZB:Max Con Flow - at Cottage Grove
707168,ZB:Max Con Flow - at Cottage Grove
707169,ZB:Max Con Flow - at Cottage Grove
707170,ZB:Max Con Flow - at Cottage Grove
707171,ZB:Max Con Flow - at Cottage Grove
707172,ZB:Max Con Flow - at Cottage Grove
707173,ZB:Max Con Flow - at Cottage Grove
707174,ZB:Max Con Flow - at Cottage Grove
707175,ZB:Max Con Flow - at Cottage Grove
707176,ZB:Max Con Flow - at Cottage Grove
707177,ZB:Max Con Flow - at Cottage Grove
707178,ZB:Max Con Flow - at Cottage Grove
707179,ZB:Max Con Flow - at Cottage Grove
707180,ZB:Max Con Flow - at Cottage Grove
707181,ZB:Max Con Flow - at Cottage Grove
707182,ZB:Max Con Flow - at Cottage Grove
707183,ZB:Max Con Flow - at Cottage Grove
707184,ZB:Max Con Flow - at Cottage Grove
707185,GC
707186,ZB:Max Con Flow - at Cottage Grove
707187,ZB:Max Con Flow - at Cottage Grove
707188,ZB:Max Con Flow - at Cottage Grove
707189,ZB:Max Con Flow - at Cottage Grove
707190,ZB:Max Con Flow - at Cottage Grove
707191,ZB:Max Con Flow - at Cottage Grove
707192,ZB:Max Con Flow - at Cottage Grove
707193,GC
707194,GC
707195,GC
707196,GC
707197,GC
707198,GC
707199,GC
707200,GC
707201,GC
707202,GC
707203,GC
707204,GC
707205,GC
707206,GC
707207,GC
707208,GC
707209,GC
707210,Min flow from Cottage Grove
707211,Min Flow - at Albany by Water Year Type
707212,Min Flow - at Albany by Water Year Type
707213,Min Flow - at Albany by Water Year Type
707214,Min Flow - at Albany by Water Year Type
707215,Min Flow - at Albany by Water Year Type
707216,Min Flow - at Albany by Water Year Type
707217,Min Flow - at Albany by Water Year Type
707218,Min Flow - at Albany by Water Year Type
707219,Min Flow - at Albany by Water Year Type
707220,Min Flow - at Albany by Water Year Type
707221,Min Flow - at Albany by Water Year Type
707222,Min Flow - at Albany by Water Year Type
707223,Min Flow - at Albany by Water Year Type
707224,Min Flow - at Albany by Water Year Type
707225,Min Flow - at Albany by Water Year Type
707226,Min Flow - at Albany by Water Year Type
707227,Min Flow - at Albany by Water Year Type
707228,Min Flow - at Albany by Water Year Type
707229,Min Flow - at Albany by Water Year Type
707230,Min Flow - at Albany by Water Year Type
707231,Min Flow - at Albany by Water Year Type
707232,Min Flow - at Albany by Water Year Type
707233,Min Flow - at Albany by Water Year Type
707234,Min Flow - at Albany by Water Year Type
707235,Min Flow - at Albany by Water Year Type
707236,Min Flow - at Albany by Water Year Type
707237,Min Flow - at Albany by Water Year Type
707238,Min Flow - at Albany by Water Year Type
707239,Min Flow - at Albany by Water Year Type
707240,Min Flow - at Albany by Water Year Type
707241,Min Flow - at Albany by Water Year Type
707242,Min Flow - at Albany by Water Year Type
707243,Min Flow - at Albany by Water Year Type
707244,Min Flow - at Albany by Water Year Type
707245,Min Flow - at Salem
707246,Min Flow - at Salem
707247,Min Flow - at Albany by Water Year Type
707248,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707249,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707250,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707251,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707252,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707253,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707254,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707255,Min Flow - at Salem:Max Con Flow - at Cottage Grove
707256,GC
707257,GC
707258,GC
707259,GC
707260,GC
707261,GC
707262,GC
707263,GC
707264,GC
707265,GC
707266,GC
707267,GC
707268,GC
707269,GC
707270,GC
707271,GC
707272,GC
707273,GC
707274,GC
707275,GC
707276,GC
707277,GC
707278,GC
707279,GC
707280,GC
707281,GC
707282,GC
707283,GC
707284,GC
707285,GC
707286,GC
707287,GC
707288,GC
707289,GC
707290,GC
707291,GC
707292,GC
707293,GC
707294,GC
707295,GC
707296,GC
707297,GC
707298,GC
707299,GC
707300,GC
707301,GC
707302,GC
707303,GC
707304,GC
707305,GC
707306,GC
707307,GC
707308,GC
707309,GC
707310,GC
707311,GC
