timeInRun,elev_m,inflow_cms,outlfow_cms
706551,500.41,7.92,11.33
706552,500.33,7.92,11.33
706553,499.9,7.75,27.91
706554,499.44,7.84,29.61
706555,498.97,7.73,28.14
706556,498.51,7.63,29.33
706557,498.04,7.65,28
706558,497.58,8.03,29.81
706559,497.11,9.84,30.18
706560,496.65,12.11,33.06
706561,496.18,13.16,34.18
706562,495.7,11.16,31.71
706563,495.21,9.81,31.79
706564,494.72,8.98,29.54
706565,494.23,8.24,28.8
706566,493.75,8.12,28.68
706567,493.26,8.23,28.79
706568,492.77,9.58,30.14
706569,492.28,10.05,30.6
706570,491.77,8.98,30.66
706571,491.25,8.18,28.43
706572,490.74,8.24,29.92
706573,490.23,8.22,28.47
706574,489.71,8.16,28.41
706575,489.2,8.44,28.7
706576,488.68,9.09,29.76
706577,488.17,8.79,28.06
706578,487.62,8.84,30.66
706579,487.08,8.56,28.95
706580,486.53,8.42,28.82
706581,485.99,8.14,28.54
706582,485.45,8.45,28.84
706583,484.9,8.48,28.71
706584,484.36,8.57,27.7
706585,483.79,9.15,29.45
706586,483.21,10.29,30.46
706587,482.64,13.43,33.59
706588,482.07,11.93,32.1
706589,481.5,12.27,32.43
706590,480.93,18.27,37.01
706591,480.36,17.39,37.55
706592,479.79,13.67,32.41
706593,478.97,15.55,42.25
706594,478.16,20.93,46.2
706595,477.34,17.04,43.73
706596,476.53,14.47,39.74
706597,475.71,12.54,37.44
706598,474.9,11.87,36.18
706599,474.09,11.35,35.66
706600,473.2,12.02,36.97
706601,472.31,12.64,39.01
706602,471.42,12.75,36.27
706603,470.54,12.34,37.29
706604,469.65,11.74,35.27
706605,468.76,10.89,34.31
706606,467.87,10.3,32.52
706607,466.98,10.41,32.63
706608,466.95,10.22,10.92
706609,466.95,10.25,10.25
706610,466.95,9.9,9.9
706611,466.95,9.79,9.79
706612,466.95,9.48,9.48
706613,466.95,9.62,9.62
706614,466.95,10.84,10.84
706615,466.98,12.83,12.13
706616,466.98,17.31,17.31
706617,466.98,14.36,14.36
706618,466.98,16.87,16.87
706619,466.98,21.97,21.97
706620,467.04,35.26,33.98
706621,466.98,24.94,26.22
706622,466.98,20.14,20.14
706623,466.98,17.1,17.1
706624,466.98,15.6,15.6
706625,466.98,14.09,14.09
706626,466.98,13.57,13.57
706627,466.98,12.87,12.87
706628,466.98,12.17,12.17
706629,466.98,11.59,11.59
706630,466.98,11.78,11.78
706631,466.97,11.07,11.33
706632,466.97,11.26,11.33
706633,466.98,11.98,11.66
706634,466.98,13.56,13.56
706635,466.98,16.22,16.22
706636,466.98,19.67,19.67
706637,466.98,20.2,20.2
706638,466.98,20.91,20.91
706639,466.98,27.52,27.52
706640,467.51,47.54,33.98
706641,470.52,111.46,33.98
706642,472.31,90.82,41.97
706643,475.34,143.44,54.6
706644,476.61,114.64,76.01
706645,475.99,65.99,84.94
706646,475.06,52.14,80.55
706647,474.22,48.92,74
706648,473.99,61.61,68.06
706649,474.61,85.27,66.33
706650,477.45,145.38,59.2
706651,477.89,105.11,90.9
