timeInRun,active rule
706551,Unctrl
706552,MinConservFlow_Cougar
706553,GC
706554,GC
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,GC
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,ZB
706609,MinRelease
706610,MinRelease
706611,MinRelease
706612,MinRelease
706613,MinRelease
706614,MinRelease
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,GC:Max Flow (Winter and Conservation)
706621,GC
706622,GC
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,MinConservFlow_Cougar
706632,MinConservFlow_Cougar
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC:Max Flow (Winter and Conservation)
706641,GC:Vida Max Flood
706642,GC:Max Flow (Winter and Conservation)
706643,GC:Max Flow (Winter and Conservation)
706644,GC:Max Flow (Winter and Conservation)
706645,GC:Max Flow (Winter and Conservation)
706646,GC:Max Flow (Winter and Conservation)
706647,GC:Max Flow (Winter and Conservation)
706648,GC:Max Flow (Winter and Conservation)
706649,GC:Vida Max Flood
706650,GC:Vida Max Flood
706651,GC:Max Flow (Winter and Conservation)
706652,Flood Control
706653,GC:Max Flow (Winter and Conservation)
706654,GC:Max Flow (Winter and Conservation)
706655,GC:Max Flow (Winter and Conservation)
706656,GC:Max Flow (Winter and Conservation)
706657,GC:Max Flow (Winter and Conservation)
706658,GC:Max Flow (Winter and Conservation)
706659,GC:Vida Max Flood
706660,GC:Vida Max Flood
706661,GC:Vida Max Flood
706662,GC:Vida Max Flood
706663,GC:Vida Max Flood
706664,GC:Vida Max Flood
706665,GC:Vida Max Flood
706666,GC:Vida Max Flood
706667,GC:Vida Max Flood
706668,GC:Vida Max Flood
706669,GC:Vida Max Flood
706670,GC:Vida Max Flood
706671,Revised Daily BiOp Max Rate of Decrease
706672,MinConservFlow_Cougar
706673,MinConservFlow_Cougar
706674,MinConservFlow_Cougar
706675,MinConservFlow_Cougar
706676,MinConservFlow_Cougar
706677,MinConservFlow_Cougar
706678,MinConservFlow_Cougar
706679,MinConservFlow_Cougar
706680,MinConservFlow_Cougar
706681,MinConservFlow_Cougar
706682,MinConservFlow_Cougar
706683,MinConservFlow_Cougar
706684,MinConservFlow_Cougar
706685,MinConservFlow_Cougar
706686,MinConservFlow_Cougar
706687,MinConservFlow_Cougar
706688,MinConservFlow_Cougar
706689,MinConservFlow_Cougar
706690,MinConservFlow_Cougar
706691,MinConservFlow_Cougar
706692,MinConservFlow_Cougar
706693,MinConservFlow_Cougar
706694,MinConservFlow_Cougar
706695,MinConservFlow_Cougar
706696,MinConservFlow_Cougar
706697,MinConservFlow_Cougar
706698,MinConservFlow_Cougar
706699,MinConservFlow_Cougar
706700,MinConservFlow_Cougar
706701,MinConservFlow_Cougar
706702,MinConservFlow_Cougar
706703,MinConservFlow_Cougar
706704,MinConservFlow_Cougar
706705,MinConservFlow_Cougar
706706,MinConservFlow_Cougar
706707,MinConservFlow_Cougar
706708,MinConservFlow_Cougar
706709,MinConservFlow_Cougar
706710,MinConservFlow_Cougar
706711,MinConservFlow_Cougar
706712,MinConservFlow_Cougar
706713,MinConservFlow_Cougar
706714,MinConservFlow_Cougar
706715,MinConservFlow_Cougar
706716,MinConservFlow_Cougar
706717,MinConservFlow_Cougar
706718,MinConservFlow_Cougar
706719,MinConservFlow_Cougar
