timeInRun,elev_m,inflow_cms,outlfow_cms
706551,466.74,15.55,44.54
706552,466.53,15.56,43.14
706553,466.22,14.85,54.96
706554,465.91,14.65,55.27
706555,465.59,14.56,56.04
706556,465.27,14.42,55.16
706557,464.96,14.21,54.21
706558,464.64,14.66,54.66
706559,464.32,18.43,58.42
706560,464.01,33.94,73.93
706561,463.69,30.76,70.76
706562,463.36,26.48,67.74
706563,463.02,21.27,63.39
706564,462.69,19.12,60.09
706565,462.35,17.92,58.75
706566,462.02,17.02,57.85
706567,461.68,16.81,57.22
706568,461.35,18.2,57.46
706569,461.01,19.1,59.07
706570,460.66,17.57,59.77
706571,460.3,16.82,58.32
706572,459.95,16.37,57.86
706573,459.59,16.22,56.28
706574,459.24,16.19,57.23
706575,458.88,16.43,56.27
706576,458.53,17.19,57.02
706577,458.18,16.37,56.2
706578,457.8,15.82,57.92
706579,457.43,15.86,57.59
706580,457.05,15.16,55.5
706581,456.68,14.81,56.17
706582,456.3,15.45,54.85
706583,455.93,15.3,55.55
706584,455.55,15.39,55.73
706585,455.15,15.73,57.81
706586,454.75,16.32,57.55
706587,454.35,22.72,63.95
706588,453.95,22.13,63.35
706589,453.55,22.87,62.71
706590,453.15,42.23,83.01
706591,452.75,36.2,75.55
706592,452.35,28.27,67.62
706593,451.69,36.51,101.51
706594,451.03,55.94,119.37
706595,450.37,42.52,104.52
706596,449.71,32.78,94.78
706597,449.04,28.56,89.48
706598,448.38,25.81,87.46
706599,447.72,25.24,84.25
706600,447,27.08,92.56
706601,446.28,39.66,102.28
706602,445.56,40.96,104.75
706603,444.84,33.65,95.76
706604,444.12,30.96,91.64
706605,443.4,28.39,89.06
706606,442.68,26.77,86.55
706607,441.96,25.5,84.23
706608,441.96,24.68,24.92
706609,441.96,24.06,24.06
706610,441.96,22.93,22.93
706611,441.96,22.28,22.28
706612,441.96,21.54,21.54
706613,441.96,20.98,20.98
706614,441.96,24.12,24.12
706615,441.96,29.3,29.3
706616,441.96,41.14,40.87
706617,441.96,34.07,34.1
706618,441.96,38.05,37.96
706619,441.96,47.54,47.6
706620,441.96,72.66,72.67
706621,441.96,54.5,54.53
706622,441.96,45.88,45.89
706623,441.96,39.5,39.5
706624,441.96,35.15,35.11
706625,441.96,32.42,32.37
706626,441.96,30.67,30.68
706627,441.96,28.26,28.28
706628,441.96,27.33,27.34
706629,441.96,26.39,26.4
706630,441.96,25.53,25.54
706631,441.96,24.64,24.68
706632,441.96,24.4,24.65
706633,441.96,26.88,26.88
706634,441.96,29.67,29.67
706635,441.96,44.64,44.4
706636,441.96,51.7,51.7
706637,441.96,49.42,49.42
706638,441.96,55.92,55.92
706639,441.96,80.64,80.65
706640,441.96,77.59,77.59
706641,443.56,272.67,141.58
706642,443.84,164.67,141.58
706643,447.92,452.07,95.04
706644,449.76,270.26,100.72
706645,451.02,158.68,40.99
706646,450.78,118.9,141.58
706647,450.36,102.83,141.58
706648,450.08,115.12,141.58
706649,451.55,207.92,69.16
706650,455.27,407.36,33.98
706651,457.53,277.61,33.98
706652,459.41,245.5,33.98
706653,460.65,177.51,33.98
706654,461.62,149.23,33.98
706655,462.29,119.16,38.52
706656,461.83,101.12,156.83
706657,461.26,82.89,149.73
706658,460.82,88.59,141.58
706659,460.37,88.14,141.58
706660,459.84,80.81,141.58
706661,459.24,72.21,141.58
706662,458.6,69.29,141.58
706663,457.91,64.74,141.58
706664,457.18,60.52,141.58
706665,456.38,55.2,141.58
706666,455.55,52.09,141.58
706667,454.66,49.31,141.58
706668,453.72,45.36,141.58
706669,452.73,43.39,141.58
706670,451.71,40.88,141.58
706671,450.64,39.45,141.58
706672,449.52,36.88,141.58
706673,448.38,36.18,141.58
706674,447.2,35.96,141.58
706675,446.58,35.62,89.84
706676,446.46,39.45,50.08
706677,446.59,39.1,28.32
706678,446.66,34.36,28.32
706679,446.71,33.01,28.32
706680,446.76,32.02,28.32
706681,446.8,31.89,28.32
706682,447.15,59.76,28.32
706683,447.59,68.24,28.32
706684,447.87,53.18,28.32
706685,448.08,47.5,28.32
706686,448.25,43,28.32
706687,448.37,38.76,28.32
706688,448.47,38.23,28.32
706689,448.57,37.14,28.32
706690,448.67,38.16,28.32
706691,448.88,48.07,28.32
706692,450.1,140.76,28.32
706693,451.06,118.53,28.32
