timeInRun,active rule
706551,Unctrl
706552,GC
706553,GC
706554,GC
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,GC
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,ZB
706609,ZB
706610,ZB
706611,ZB
706612,ZB
706613,ZB
706614,ZB
706615,ZB
706616,GC
706617,GC
706618,GC
706619,GC
706620,GC
706621,GC
706622,GC
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,ZB
706633,ZB
706634,ZB
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,GC:Max Evacuation Release
706642,GC:Max Evacuation Release
706643,GC:Max Bankfull Flow - at Mehama
706644,GC:Max Bankfull flow - at Salem
706645,GC:Max Bankfull flow - at Salem
706646,GC:Max Evacuation Release
706647,GC:Max Evacuation Release
706648,GC:Max Evacuation Release
706649,GC:Max Bankfull flow - at Salem
706650,GC:Max Bankfull Flow - at Jefferson
706651,GC:Max Bankfull Flow - at Jefferson
706652,Flood Control
706653,GC:Max Bankfull Flow - at Jefferson
706654,GC:Max Bankfull Flow - at Jefferson
706655,GC:Max Bankfull Flow - at Jefferson
706656,GC:Max Bankfull Flow - at Jefferson
706657,GC:Max Bankfull Flow - at Jefferson
706658,GC:Max Bankfull Flow - at Jefferson
706659,GC:Max Bankfull Flow - at Jefferson
706660,GC:Max Bankfull Flow - at Jefferson
706661,GC:Max Bankfull Flow - at Jefferson
706662,GC:Max Bankfull Flow - at Jefferson
706663,GC:Max Bankfull Flow - at Jefferson
706664,GC:Max Bankfull Flow - at Jefferson
706665,GC:Max Bankfull Flow - at Jefferson
706666,GC:Max Bankfull Flow - at Jefferson
706667,GC:Max Bankfull Flow - at Jefferson
706668,GC:Max Bankfull Flow - at Jefferson
706669,GC:Max Bankfull Flow - at Jefferson
706670,GC:Max Bankfull Flow - at Jefferson
706671,GC:Max Evacuation Release
706672,GC:Max Evacuation Release
706673,GC:Max Evacuation Release
706674,GC:Max Evacuation Release
706675,GC
706676,Daily BiOp Max Rate of Decrease
706677,Min Flow DET plus irrigation most years
