timeInRun,elev_m,inflow_cms,outlfow_cms
706551,244.87,1.11,2.83
706552,244.77,1.14,5.66
706553,244.68,0.9,5.64
706554,244.59,0.76,5.66
706555,244.49,0.73,5.66
706556,244.4,0.69,4.92
706557,244.08,0.66,15.65
706558,243.76,0.93,15.92
706559,243.44,3.29,18.28
706560,243.12,4.57,19.06
706561,242.8,13.45,26.94
706562,242.41,4.81,21.51
706563,242.01,3.87,20.58
706564,241.61,2.56,18.83
706565,241.22,1.94,16.79
706566,240.82,1.59,16.44
706567,240.43,1.38,16.23
706568,240.03,2.9,17.04
706569,239.63,5.29,18.28
706570,239.11,2.73,20.54
706571,238.59,2.07,18.49
706572,238.07,1.94,17.71
706573,237.55,1.69,17.79
706574,237.02,1.52,16.19
706575,236.5,1.52,16.15
706576,235.98,2.73,16.42
706577,235.46,2.39,15.84
706578,235.4,2.39,3.93
706579,235.34,2.66,4.21
706580,235.28,2.18,3.71
706581,235.21,1.91,3.42
706582,235.15,1.73,3.25
706583,235.09,1.8,3.32
706584,235.03,2.49,4.01
706585,235.03,5.15,5.15
706586,235.03,5.4,5.4
706587,235.03,15.42,15.42
706588,235.03,7.61,7.71
706589,235.03,4.67,4.57
706590,235.03,26.42,26.42
706591,235.03,24.86,24.86
706592,235.02,12.45,12.79
706593,235.03,8.79,8.45
706594,235.03,20.19,20.19
706595,235.03,14.19,14.19
706596,235.03,9.21,9.21
706597,235.03,6.92,6.92
706598,235.03,5.67,5.67
706599,235.03,5.67,5.67
706600,235.03,7.99,7.99
706601,235.03,11.45,11.45
706602,235.03,10.06,10.06
706603,235.03,5.95,5.95
706604,235.03,5.95,5.95
706605,235.03,5.4,5.4
706606,235.03,4.43,4.43
706607,235.03,3.98,3.98
706608,235.03,3.56,3.56
706609,235.03,3.4,3.4
706610,235.03,3.01,3.01
706611,235.03,2.84,2.84
706612,235.02,2.67,2.83
706613,235.01,2.49,2.83
706614,235.03,3.39,2.89
706615,235.03,5.4,5.4
706616,235.03,13.05,13.05
706617,235.03,7.65,7.65
706618,235.03,15.54,15.54
706619,235.03,23.48,23.48
706620,236.67,86.03,43.5
706621,236.07,36.56,52.65
706622,235.03,21.85,48.29
706623,235.03,16.13,16.13
706624,235.03,13.09,13.09
706625,235.03,10.68,10.68
706626,235.03,8.98,8.98
706627,235.03,7.86,7.86
706628,235.03,6.52,6.52
706629,235.03,5.65,5.65
706630,235.03,5.16,5.16
706631,235.03,4.68,4.68
706632,235.03,4.43,4.43
706633,235.03,4.62,4.62
706634,235.03,4.39,4.39
706635,235.03,6.1,6.1
706636,235.03,8.91,8.91
706637,235.03,14.88,14.88
706638,235.03,21.83,21.83
706639,235.03,26.47,26.47
706640,235.03,26.46,26.46
706641,238.65,144.33,43.5
706642,238.58,61.69,63.72
706643,243.37,243.54,63.38
706644,244.95,165.75,90.15
706645,244.3,67.21,99.01
706646,243.16,42.32,95.38
706647,241.96,38.17,89
706648,241.44,61.68,82.26
706649,241.61,85.89,79.36
706650,245.92,279.51,80.33
706651,247.08,154.69,90.9
706652,249.6,258.08,104.14
706653,250.35,171.65,121.76
706654,250.23,115.98,124.8
706655,249.86,100.08,124.29
706656,249.05,69.99,122.8
706657,247.92,48.91,119.55
706658,246.8,51.35,114.96
706659,245.74,51.35,108.19
706660,244.51,40.29,102.19
706661,243.3,38.21,95.23
706662,242.22,42.36,88.32
706663,241.11,38.21,82.23
706664,239.93,33.03,75.83
706665,238.68,28.04,69.03
706666,237.52,26.48,62.02
706667,236.38,23.39,55.21
706668,235.38,20.26,46.22
706669,235,16.8,26.24
706670,235.05,14.83,13.54
706671,235.3,13.01,6.77
706672,235.54,11.46,5.38
706673,235.74,10.53,5.38
706674,235.92,10.08,5.38
706675,236.07,9.21,5.38
706676,236.27,10.53,5.38
706677,236.76,18.82,5.38
706678,237.12,15.44,5.38
706679,237.41,13.58,5.38
706680,237.67,12.48,5.38
706681,238.05,17.46,5.38
706682,238.49,28.01,14.75
706683,238.78,40.28,30.86
706684,239.03,31.29,23.34
706685,239.29,24.9,17.64
706686,239.54,21.8,12.33
706687,239.79,20.24,11.8
706688,240.04,20.24,11.96
706689,240.3,20.24,11.43
706690,240.55,31.31,21.84
706691,241.13,96.31,74.37
706692,242.01,111.87,77.64
706693,241.71,70.03,82.54
706694,241.44,53.78,64.15
706695,241.4,40.3,41.71
706696,241.86,42.37,24.18
706697,242.1,48.95,38.9
706698,242.3,70.04,61.6
706699,242.7,61.69,53.25
706700,242.9,56.16,47.72
706701,243.1,48.9,40.46
706702,243.3,36.46,27.67
706703,243.5,31.27,21.89
706704,243.68,26.43,18.04
706705,243.86,21.76,13.38
706706,244.04,18.83,10.44
706707,244.22,26.44,18.05
706708,244.4,21.77,13.38
706709,244.58,17.45,8.46
706710,244.76,17.45,8.24
706711,244.94,17.45,9.07
706712,245.1,16.77,8.7
706713,245.27,17.46,8.83
706714,245.44,16.08,7.44
706715,245.61,14.8,6.16
706716,245.78,14.21,5.58
706717,245.9,12,5.38
706718,246.04,12.49,5.38
706719,246.18,12.49,5.38
706720,246.31,12,5.38
706721,246.41,11.48,5.38
706722,246.52,11.48,5.38
706723,246.62,11.04,5.38
706724,246.73,11.49,5.38
706725,247.19,31.31,5.43
706726,247.35,58.97,50.4
706727,247.5,38.22,29.66
706728,247.64,28.02,19.95
706729,247.78,23.36,15.29
706730,247.93,18.73,10.06
