timeInRun,active rule
706551,Unctrl
706552,Min Flow - at Albany by Water Year Type:Max Con Flow - at Dorena
706553,Min Flow - at Albany by Water Year Type
706554,GC:Max Con Flow - at Dorena
706555,GC:Max Con Flow - at Dorena
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,Daily BiOp Max Rate of Decrease
706589,GC
706590,GC
706591,GC
706592,Daily BiOp Max Rate of Decrease
706593,GC
706594,GC
706595,GC
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,Min Flow from Dorena
706613,Min Flow from Dorena
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,GC:Winter Ops Max Flood Flow DOR
706621,GC:Max Bankfull Flow - at Goshen
706622,GC
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,GC:Winter Ops Max Flood Flow DOR
706642,GC:Max Bankfull Flow - at Goshen
706643,GC:Max Bankfull Flow - at Goshen
706644,GC:Max Bankfull Flow - at Goshen
706645,GC:Max Bankfull Flow - at Goshen
706646,GC:Winter Ops Max Flood Flow DOR
706647,GC:Winter Ops Max Flood Flow DOR
706648,GC:Max Bankfull Flow - at Goshen
706649,GC:Max Bankfull Flow - at Goshen
706650,GC:Max Bankfull Flow - at Goshen
706651,GC:Max Bankfull Flow - at Goshen
706652,50% FC Pool
706653,GC:Winter Ops Max Flood Flow DOR
706654,GC:Winter Ops Max Flood Flow DOR
706655,GC:Winter Ops Max Flood Flow DOR
706656,GC:Winter Ops Max Flood Flow DOR
706657,GC:Winter Ops Max Flood Flow DOR
706658,GC:Winter Ops Max Flood Flow DOR
706659,GC:Max Bankfull Flow - at Goshen
706660,GC:Max Bankfull Flow - at Goshen
706661,GC:Max Bankfull Flow - at Goshen
706662,GC:Max Bankfull Flow - at Goshen
706663,GC:Max Bankfull Flow - at Goshen
706664,GC:Max Bankfull Flow - at Goshen
706665,GC:Max Bankfull Flow - at Goshen
706666,GC:Max Bankfull Flow - at Goshen
706667,GC:Max Bankfull Flow - at Goshen
706668,GC
706669,Daily BiOp Max Rate of Decrease:ZB
706670,Daily BiOp Max Rate of Decrease
706671,Daily BiOp Max Rate of Decrease
706672,Min Flow from Dorena
706673,Min Flow from Dorena
706674,Min Flow from Dorena
706675,Min Flow from Dorena
706676,Min Flow from Dorena
706677,Min Flow from Dorena
706678,Min Flow from Dorena
706679,Min Flow from Dorena
706680,Min Flow from Dorena
