timeInRun,elev_m,inflow_cms,outlfow_cms
706551,242.96,0.74,5.66
706552,241.9,0.82,62.22
706553,240.73,0.74,64.75
706554,239.18,0.71,81.76
706555,237.5,0.68,86.07
706556,235.78,0.65,80.71
706557,234.28,0.65,63.22
706558,233.1,0.68,46.41
706559,232.29,1.39,31.84
706560,231.6,2.64,28.32
706561,230.87,7.05,32.4
706562,229.94,4,35.86
706563,228.83,3.29,38.39
706564,227.59,2.07,39.8
706565,226.3,1.36,39.98
706566,225.61,1.13,21.94
706567,225.26,1.05,10.97
706568,225.13,1.3,5.48
706569,225.18,4.5,2.74
706570,225.2,2.32,1.84
706571,225.18,1.46,1.84
706572,225.16,1.18,1.84
706573,225.14,1.06,1.84
706574,225.11,1.01,1.84
706575,225.09,0.95,1.84
706576,224.47,2.31,20.42
706577,224.15,2.22,10.21
706578,224.01,1.66,5.1
706579,223.98,1.76,2.55
706580,223.97,1.42,1.84
706581,223.94,1.25,1.84
706582,223.92,1.08,1.84
706583,223.89,1.08,1.84
706584,223.87,1.22,1.84
706585,223.87,1.9,1.84
706586,223.91,2.92,1.84
706587,224.18,8.69,1.84
706588,224.36,6.37,1.84
706589,224.37,3.54,3.24
706590,224.2,5.1,9.48
706591,223.49,15.77,33.8
706592,222.78,8.7,26.72
706593,221.92,6.37,26.2
706594,221.25,14.64,28.39
706595,220.49,14.65,28.32
706596,219.34,8.28,25.85
706597,218.49,5.41,16.96
706598,217.63,4.28,15.2
706599,217.32,3.54,7.28
706600,217.33,3.79,3.64
706601,217.6,5.1,1.84
706602,217.63,5.1,4.77
706603,217.63,4.28,4.28
706604,217.63,3.8,3.8
706605,217.63,3.09,3.09
706606,217.63,2.92,2.92
706607,217.63,2.66,2.66
706608,217.63,2.44,2.44
706609,217.63,2.19,2.19
706610,217.63,2.11,2.11
706611,217.63,1.91,1.91
706612,217.63,1.85,1.85
706613,217.62,1.71,1.84
706614,217.62,1.91,1.84
706615,217.63,3.55,3.49
706616,217.63,12.57,12.57
706617,217.63,6.81,6.81
706618,217.63,8.8,8.8
706619,217.63,7.96,7.96
706620,219.21,48.87,28.32
706621,219.05,26.22,28.32
706622,218.11,15.88,28.32
706623,217.63,12.11,18.12
706624,217.61,8.79,9.06
706625,217.63,7.2,6.93
706626,217.63,6.2,6.2
706627,217.63,5.26,5.26
706628,217.63,4.71,4.71
706629,217.63,4.2,4.2
706630,217.63,3.72,3.72
706631,217.63,3.49,3.49
706632,217.63,3.25,3.25
706633,217.63,3.47,3.47
706634,217.63,3.69,3.69
706635,217.63,4.68,4.68
706636,217.63,11.67,11.67
706637,217.63,10.67,10.67
706638,217.63,9.68,9.68
706639,217.63,12.64,12.64
706640,217.63,20.83,20.83
706641,221.57,88.51,28.32
706642,222.33,44.9,28.32
706643,225.58,117.67,31.47
706644,227.55,114.55,55.4
706645,226.99,52.82,69.94
706646,226.22,43.18,65.76
706647,225.61,41.48,60.07
706648,225.23,44.87,55.56
706649,225.3,54.79,52.78
706650,228.31,143.7,53.26
706651,230.68,83.11,7.02
706652,233.85,117.66,1.42
706653,235.36,91.34,29.18
706654,235.72,88.51,73.37
706655,235.48,78.03,88.04
706656,234.9,61.33,85.79
706657,233.96,41.52,79.97
706658,233.34,46.91,70.69
706659,232.81,44.93,65.01
706660,232.14,34.74,59.87
706661,231.54,31.91,53.64
706662,231,29.09,48.3
706663,230.56,27.67,42.87
706664,230.08,22.16,38.49
706665,229.62,18.34,33.56
706666,229.19,15.95,28.66
706667,228.78,14.83,28.32
706668,228.27,13.23,28.32
706669,227.73,11.73,28.32
706670,227.16,10.75,28.32
706671,226.54,9.63,28.32
706672,225.89,8.79,28.32
706673,225.18,7.94,28.32
706674,225.01,8.36,14.16
706675,225.06,8.79,7.08
706676,225.31,11.62,3.54
706677,226.28,30.45,1.84
706678,226.89,19.55,1.84
706679,227.36,15.87,1.84
706680,227.81,15.87,1.84
706681,228.43,20.83,1.84
706682,229.82,44.9,1.84
706683,230.93,39.81,1.84
706684,231.71,29.05,1.84
706685,232.36,26.22,1.84
706686,232.87,20.84,1.84
706687,233.27,17.02,1.84
706688,233.71,18.3,1.84
706689,234.11,18.3,1.84
706690,234.72,26.23,1.84
706691,236.21,65.87,1.84
706692,237.56,65.87,1.84
706693,238.21,52.85,19.99
706694,238.71,41.52,16.82
706695,239.19,33.31,8.41
706696,239.69,36.43,10.62
706697,240.18,38.13,12.77
706698,240.52,61.35,42.48
706699,240.95,50.83,37.97
706700,241.21,44.89,31.12
706701,241.47,34.69,20.25
706702,241.72,29.03,14.59
706703,241.98,24.78,10.34
706704,242.18,22.09,10.75
706705,242.38,18.27,6.92
706706,242.59,18.27,6.92
706707,242.79,22.1,9.96
706708,242.99,17,4.98
706709,243.19,14.74,2.49
706710,243.39,14.74,2.12
706711,243.6,15.87,3.58
706712,243.78,15.87,4.5
706713,243.97,20.83,8.85
706714,244.16,17.01,4.82
706715,244.34,15.87,4.51
706716,244.52,13.61,2.25
706717,244.67,11.63,1.84
706718,244.81,11.15,1.84
706719,244.96,11.15,1.84
706720,245.09,10.64,1.84
706721,245.22,10.13,1.84
706722,245.37,11.63,1.84
706723,245.52,11.63,1.84
706724,245.67,11.63,1.84
706725,245.88,26.22,12.33
706726,246.34,54.82,22.83
706727,246.52,33.3,21.55
706728,246.69,24.8,13.16
706729,246.86,22.11,10.18
706730,247.03,16.9,5.09
706731,247.2,14.63,2.58
706732,247.37,14.63,2.7
706733,247.54,30.35,18.22
706734,247.71,24.69,11.96
706735,247.87,22,10.06
706736,248.04,30.35,18.84
706737,248.2,34.6,22.64
706738,248.37,30.35,18.07
706739,248.53,33.18,21.46
706740,248.69,36.3,24.79
706741,248.86,34.6,22.43
706742,249.02,30.35,18.08
706743,249.18,23.27,11.53
706744,249.34,20.73,8.98
706745,249.49,18.18,6.43
706746,249.65,15.77,3.94
706747,249.8,14.64,2.27
706748,249.93,12.51,2.27
706749,250.05,11.52,2.38
706750,250.14,10.53,3.93
706751,250.24,10.53,3.11
706752,250.33,9.54,2.27
706753,250.47,13.5,2.81
706754,250.56,13.5,6.31
706755,250.58,11.52,9.38
706756,250.66,10.53,4.69
706757,250.76,10.53,2.34
706758,250.85,9.54,2.27
706759,250.96,10.53,2.27
706760,251.05,9.4,2.27
706761,251.12,8.55,2.27
706762,251.21,8.97,2.27
706763,251.29,8.55,2.27
706764,251.69,34.46,2.27
706765,252.22,44.65,2.27
706766,252.56,30.21,2.27
706767,252.82,23.13,2.27
706768,252.98,19.31,6.19
706769,252.98,15.63,15.63
706770,252.98,13.36,13.36
706771,252.98,11.38,11.38
706772,252.98,10.39,10.39
706773,252.98,15.63,15.63
706774,252.98,14.49,14.49
706775,252.98,13.36,13.36
706776,252.98,11.38,11.38
706777,252.98,10.39,10.39
706778,252.98,10.39,10.39
706779,252.98,14.49,14.49
706780,252.98,28.79,28.79
706781,252.98,24.55,24.55
706782,252.98,19.31,19.31
706783,252.98,14.49,14.49
706784,252.98,13.36,13.36
706785,252.98,11.38,11.38
706786,252.98,10.39,10.39
706787,252.98,10.39,10.39
706788,252.98,9.4,9.4
706789,252.98,8.12,8.12
706790,252.98,7.7,7.7
706791,252.98,6.05,6.05
706792,252.98,7.52,7.52
706793,252.98,6.05,6.05
706794,252.98,6.05,6.05
706795,252.98,6.05,6.05
706796,252.98,5.74,5.74
706797,252.98,9.22,9.22
706798,252.98,15.45,15.45
706799,252.98,13.18,13.18
706800,252.98,11.2,11.2
706801,252.98,9.22,9.22
706802,252.98,7.95,7.95
706803,252.98,6.76,6.76
706804,252.98,6.05,6.05
706805,252.98,10.72,10.72
706806,252.98,13.18,13.18
706807,252.98,20.4,20.4
706808,252.98,16.58,16.58
706809,252.98,13.75,13.75
706810,252.98,11.2,11.2
706811,252.98,8.37,8.37
706812,252.98,8.37,8.37
706813,252.98,7.15,7.15
706814,252.98,6.42,6.42
706815,252.98,6.05,6.05
706816,252.98,5.4,5.4
706817,252.98,4.78,4.78
706818,252.98,4.78,4.78
706819,252.98,4.21,4.21
706820,252.98,4.21,4.21
706821,252.98,3.74,3.74
706822,252.98,3.49,3.49
706823,252.98,3.49,3.49
706824,252.98,3.49,3.49
706825,252.98,3.49,3.49
706826,252.98,3.01,3.01
706827,252.98,3.01,3.01
706828,252.98,3.01,3.01
706829,252.98,3.01,3.01
706830,252.98,3.27,3.27
706831,252.98,3.5,3.5
706832,252.98,3.02,3.02
706833,252.98,2.56,2.56
706834,252.98,2.48,2.59
706835,252.97,2.31,3.09
706836,252.95,2.23,3.83
706837,252.94,2.06,3.46
706838,252.92,1.98,3.28
706839,252.9,1.75,3.4
706840,252.87,1.76,3.67
706841,252.81,1.76,7.13
706842,252.78,1.76,3.76
706843,252.75,1.39,4.15
706844,252.71,1.39,4.19
706845,252.65,1.4,6.85
706846,252.61,1.4,4.15
706847,252.57,1.4,4.67
706848,252.53,1.35,4.99
706849,252.46,1.29,7.31
706850,252.39,1.29,6.82
706851,252.33,1.21,6.71
706852,252.25,1.14,6.91
706853,252.17,1.14,7.72
706854,252.08,1.09,8.28
706855,251.98,1.09,8.71
706856,251.89,1.03,8.97
706857,251.78,1.04,9.26
706858,251.67,1.04,9.54
706859,251.56,0.98,9.98
706860,251.45,0.98,10.1
706861,251.33,0.98,10.22
706862,251.21,0.87,10.7
706863,251.07,0.87,11.96
706864,250.92,0.84,12.32
706865,250.78,0.84,12.36
706866,250.65,0.85,11.58
706867,250.52,0.79,10.74
706868,250.4,0.79,10.08
706869,250.29,0.76,9.69
706870,250.17,0.71,9.87
706871,250.05,0.71,10.15
706872,249.92,0.68,10
706873,249.81,0.68,9.85
706874,249.69,0.68,9.79
706875,249.57,0.69,9.96
706876,249.44,0.69,10.34
706877,249.31,0.69,10.84
706878,249.17,0.69,11.27
706879,248.99,0.66,13.94
706880,248.81,0.66,14.4
706881,248.71,0.66,7.7
706882,248.64,0.66,5.77
706883,248.57,0.89,6.14
706884,248.5,1.82,6.14
706885,248.44,1.34,5.66
706886,248.38,1.06,5.66
706887,248.31,0.98,6.53
706888,248.21,1.07,8.52
706889,248.08,1.07,10.22
706890,247.95,0.84,10.4
706891,247.81,0.81,10.55
706892,247.67,0.76,10.7
706893,247.56,0.76,9.58
706894,247.43,0.82,10.04
706895,247.31,1.08,9.83
