timeInRun,active rule
706551,Unctrl
706552,Min Flow - at Albany by Water Year Type
706553,Min Flow - at Albany by Water Year Type
706554,Min Flow - at Albany by Water Year Type
706555,Min Flow - at Albany by Water Year Type
706556,Min Flow - at Albany by Water Year Type
706557,Min Flow - at Albany by Water Year Type
706558,Min Flow - at Albany by Water Year Type
706559,Min Flow - at Albany by Water Year Type
706560,Min Flow - at Albany by Water Year Type
706561,Min Flow - at Albany by Water Year Type
706562,Min Flow - at Albany by Water Year Type
706563,Min Flow - at Albany by Water Year Type
706564,Min Flow - at Albany by Water Year Type
706565,Min Flow - at Albany by Water Year Type
706566,Daily BiOp Max Rate of Decrease
706567,Daily BiOp Max Rate of Decrease
706568,Daily BiOp Max Rate of Decrease
706569,Daily BiOp Max Rate of Decrease
706570,Daily BiOp Max Rate of Decrease
706571,Daily BiOp Max Rate of Decrease
706572,Daily BiOp Max Rate of Decrease
706573,Daily BiOp Max Rate of Decrease
706574,Daily BiOp Max Rate of Decrease
706575,Daily BiOp Max Rate of Decrease
706576,ZB
706577,Daily BiOp Max Rate of Decrease
706578,Daily BiOp Max Rate of Decrease
706579,Daily BiOp Max Rate of Decrease
706580,Daily BiOp Max Rate of Decrease
706581,Daily BiOp Max Rate of Decrease
706582,Daily BiOp Max Rate of Decrease
706583,Daily BiOp Max Rate of Decrease
706584,Daily BiOp Max Rate of Decrease
706585,Daily BiOp Max Rate of Decrease
706586,Daily BiOp Max Rate of Decrease
706587,Daily BiOp Max Rate of Decrease
706588,Daily BiOp Max Rate of Decrease
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC:Max Flow (Winter and Conservation)
706595,500 cfs Max
706596,GC
706597,GC
706598,GC
706599,Daily BiOp Max Rate of Decrease:ZB
706600,Daily BiOp Max Rate of Decrease
706601,Daily BiOp Max Rate of Decrease
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,Daily BiOp Max Rate of Decrease
706614,Daily BiOp Max Rate of Decrease
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,500 cfs Max
706621,500 cfs Max
706622,500 cfs Max
706623,GC
706624,Daily BiOp Max Rate of Decrease
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,500 cfs Max
706642,500 cfs Max
706643,500 cfs Max
706644,500 cfs Max
706645,500 cfs Max
706646,500 cfs Max
706647,500 cfs Max
706648,500 cfs Max
706649,500 cfs Max
706650,500 cfs Max
706651,500 cfs Max
706652,50% FC Pool
706653,500 cfs Max
706654,500 cfs Max
706655,500 cfs Max
706656,500 cfs Max
706657,500 cfs Max
706658,500 cfs Max
706659,500 cfs Max
706660,500 cfs Max
706661,500 cfs Max
706662,500 cfs Max
706663,500 cfs Max
706664,500 cfs Max
706665,500 cfs Max
706666,500 cfs Max
706667,500 cfs Max
706668,500 cfs Max
706669,500 cfs Max
706670,500 cfs Max
706671,500 cfs Max
706672,500 cfs Max
706673,500 cfs Max
706674,Daily BiOp Max Rate of Decrease
706675,Daily BiOp Max Rate of Decrease
706676,Daily BiOp Max Rate of Decrease
706677,Daily BiOp Max Rate of Decrease
706678,Daily BiOp Max Rate of Decrease
706679,Daily BiOp Max Rate of Decrease
706680,Daily BiOp Max Rate of Decrease
706681,Daily BiOp Max Rate of Decrease
706682,Daily BiOp Max Rate of Decrease
706683,Daily BiOp Max Rate of Decrease
706684,Daily BiOp Max Rate of Decrease
706685,Daily BiOp Max Rate of Decrease
706686,Daily BiOp Max Rate of Decrease
706687,Daily BiOp Max Rate of Decrease
706688,Daily BiOp Max Rate of Decrease
706689,Daily BiOp Max Rate of Decrease
706690,Daily BiOp Max Rate of Decrease
706691,Daily BiOp Max Rate of Decrease
706692,Daily BiOp Max Rate of Decrease
706693,GC
706694,GC
706695,Daily BiOp Max Rate of Decrease
706696,GC
706697,GC
706698,GC:Max Flow (Winter and Conservation)
706699,GC:Max Flow (Winter and Conservation)
706700,GC
706701,GC
706702,GC
706703,GC
706704,GC
706705,GC
706706,GC
706707,GC
706708,Daily BiOp Max Rate of Decrease
706709,Daily BiOp Max Rate of Decrease
706710,GC
706711,GC
706712,GC
706713,GC
706714,GC
706715,GC
706716,Daily BiOp Max Rate of Decrease
706717,Daily BiOp Max Rate of Decrease
706718,Daily BiOp Max Rate of Decrease
706719,Daily BiOp Max Rate of Decrease
706720,Daily BiOp Max Rate of Decrease
706721,Daily BiOp Max Rate of Decrease
706722,Daily BiOp Max Rate of Decrease
706723,Daily BiOp Max Rate of Decrease
706724,Daily BiOp Max Rate of Decrease
706725,GC
706726,GC
706727,GC
706728,GC
706729,GC
706730,Daily BiOp Max Rate of Decrease
706731,GC
706732,GC
706733,GC
706734,GC
706735,GC
706736,GC
706737,GC
706738,GC
706739,GC
706740,GC
706741,GC
706742,GC
706743,GC
706744,GC
706745,GC
706746,GC
706747,Min Conserv Flow@FallCrk
706748,Min Conserv Flow@FallCrk
706749,Min Flow - at Salem
706750,Min Flow - at Salem
706751,Min Flow - at Salem
706752,Min Conserv Flow@FallCrk
706753,Min Flow - at Salem
706754,Min Flow - at Salem
706755,Min Flow - at Salem
706756,Daily BiOp Max Rate of Decrease
706757,Daily BiOp Max Rate of Decrease
706758,Min Conserv Flow@FallCrk
706759,Min Conserv Flow@FallCrk
706760,Min Conserv Flow@FallCrk
706761,Min Conserv Flow@FallCrk
706762,Min Conserv Flow@FallCrk
706763,Min Conserv Flow@FallCrk
706764,Min Conserv Flow@FallCrk
706765,Min Conserv Flow@FallCrk
706766,Min Conserv Flow@FallCrk
706767,Min Conserv Flow@FallCrk
706768,GC
706769,GC
706770,GC
706771,GC
706772,GC
706773,GC
706774,GC
706775,GC
706776,GC
706777,GC
706778,GC
706779,GC
706780,GC
706781,GC
706782,GC
706783,GC
706784,GC
706785,GC
706786,GC
706787,GC
706788,GC
706789,GC
706790,GC
706791,GC
706792,GC
706793,GC
706794,GC
706795,GC
706796,GC
706797,GC
706798,GC
706799,GC
706800,GC
706801,GC
706802,GC
706803,GC
706804,GC
706805,GC
706806,GC
706807,GC
706808,GC
706809,GC
706810,GC
706811,GC
706812,GC
706813,GC
706814,GC
706815,GC
706816,GC
706817,GC
706818,GC
706819,GC
706820,GC
706821,GC
706822,GC
706823,GC
706824,GC
706825,GC
706826,GC
706827,GC
706828,GC
706829,GC
706830,GC
706831,GC
706832,GC
706833,GC
706834,Min Flow - at Albany by Water Year Type
706835,Min Flow - at Albany by Water Year Type
706836,Min Flow - at Albany by Water Year Type
706837,Min Flow - at Albany by Water Year Type
706838,Min Flow - at Albany by Water Year Type
706839,Min Flow - at Albany by Water Year Type
706840,Min Flow - at Albany by Water Year Type
706841,Min Flow - at Salem
706842,Min Flow - at Salem
706843,Min Flow - at Albany by Water Year Type
706844,Min Flow - at Albany by Water Year Type
706845,Min Flow - at Salem
706846,Min Flow - at Salem
706847,Min Flow - at Salem
706848,Min Flow - at Salem
706849,Min Flow - at Salem
706850,Min Flow - at Salem
706851,Min Flow - at Salem
706852,Min Flow - at Salem
706853,Min Flow - at Salem
706854,Min Flow - at Salem
706855,Min Flow - at Salem
706856,Min Flow - at Salem
706857,Min Flow - at Salem
706858,Min Flow - at Salem
706859,Min Flow - at Salem
706860,Min Flow - at Salem
706861,Min Flow - at Salem
706862,Min Flow - at Salem
706863,Min Flow - at Salem
706864,Min Flow - at Salem
706865,Min Flow - at Salem
706866,Min Flow - at Salem
706867,Min Flow - at Salem
706868,Min Flow - at Salem
706869,Min Flow - at Salem
706870,Min Flow - at Salem
706871,Min Flow - at Salem
706872,Min Flow - at Salem
706873,Min Flow - at Salem
706874,Min Flow - at Salem
706875,Min Flow - at Salem
706876,Min Flow - at Salem
706877,Min Flow - at Salem
706878,Min Flow - at Salem
706879,Min Flow - at Salem
706880,Min Flow - at Albany by Water Year Type
706881,Min Flow - at Albany by Water Year Type
706882,Min Flow - at Albany by Water Year Type
706883,Min Flow - at Albany by Water Year Type
706884,Min Flow - at Salem
706885,Min Conserv Flow@FallCrk
706886,Min Conserv Flow@FallCrk
706887,Min Flow - at Albany by Water Year Type
706888,Min Flow - at Albany by Water Year Type
706889,Min Flow - at Albany by Water Year Type
706890,Min Flow - at Albany by Water Year Type
706891,Min Flow - at Albany by Water Year Type
706892,Min Flow - at Albany by Water Year Type
706893,Min Flow - at Albany by Water Year Type
706894,Min Flow - at Albany by Water Year Type
706895,Min Flow - at Salem
706896,Min Flow - at Albany by Water Year Type
706897,Min Flow - at Albany by Water Year Type
706898,Min Flow - at Albany by Water Year Type
706899,Min Flow - at Salem
706900,Min Flow - at Albany by Water Year Type
706901,Min Flow - at Albany by Water Year Type
706902,Min Flow - at Albany by Water Year Type
706903,Min Flow - at Salem
706904,Min Flow - at Albany by Water Year Type
706905,Min Flow - at Albany by Water Year Type
706906,Min Flow - at Albany by Water Year Type
706907,Min Flow - at Albany by Water Year Type
706908,500 cfs Max
706909,GC
706910,000 cfs Max
706911,GC
706912,GC
706913,GC
706914,GC
706915,GC
706916,GC
706917,GC
706918,GC
706919,GC
706920,GC
706921,GC
706922,GC
706923,GC
706924,GC
706925,GC
706926,GC
706927,GC
706928,GC
706929,GC
706930,GC
706931,GC
706932,GC
706933,GC
706934,GC
706935,GC
706936,GC
706937,GC
706938,GC
706939,GC
706940,GC
706941,GC
706942,GC
706943,GC
706944,GC
706945,GC
706946,GC
706947,GC
706948,GC
706949,GC
706950,GC
706951,GC
706952,GC
706953,GC
706954,GC
706955,GC
706956,GC
706957,GC
706958,GC
706959,GC
706960,GC
706961,GC
706962,GC
706963,Daily BiOp Max Rate of Decrease:ZB
706964,ZB
706965,ZB
706966,ZB
706967,ZB
706968,ZB
706969,ZB
706970,ZB
706971,ZB
706972,ZB
706973,ZB
706974,ZB
706975,ZB
706976,ZB
706977,ZB
706978,GC
706979,GC
706980,500 cfs Max
706981,GC
706982,GC
706983,Daily BiOp Max Rate of Decrease
706984,GC
706985,Daily BiOp Max Rate of Decrease
706986,GC
706987,GC
706988,Daily BiOp Max Rate of Decrease
706989,Daily BiOp Max Rate of Decrease
706990,Daily BiOp Max Rate of Decrease
706991,GC
706992,GC
706993,GC
706994,GC
706995,GC
706996,GC
706997,GC
706998,GC
706999,GC
707000,GC
707001,GC
707002,GC
707003,GC
707004,GC
707005,GC
707006,GC
707007,GC
707008,GC
707009,GC
707010,GC
707011,GC
707012,GC
707013,GC
707014,GC
707015,GC
707016,GC
707017,GC
707018,GC
707019,GC
707020,GC
707021,GC
707022,GC
707023,GC
707024,GC
707025,GC
707026,GC
707027,GC
707028,GC
707029,GC
707030,GC
707031,GC
707032,Daily BiOp Max Rate of Decrease
707033,Daily BiOp Max Rate of Decrease
707034,Daily BiOp Max Rate of Decrease
707035,Daily BiOp Max Rate of Decrease
707036,Daily BiOp Max Rate of Decrease
707037,Daily BiOp Max Rate of Decrease
707038,Daily BiOp Max Rate of Decrease
707039,Daily BiOp Max Rate of Decrease
707040,Daily BiOp Max Rate of Decrease
707041,Daily BiOp Max Rate of Decrease
707042,Daily BiOp Max Rate of Decrease
707043,Daily BiOp Max Rate of Decrease
707044,Daily BiOp Max Rate of Decrease
707045,Daily BiOp Max Rate of Decrease
707046,Daily BiOp Max Rate of Decrease
707047,Daily BiOp Max Rate of Decrease
707048,Daily BiOp Max Rate of Decrease
707049,Daily BiOp Max Rate of Decrease
707050,Daily BiOp Max Rate of Decrease
707051,Daily BiOp Max Rate of Decrease
707052,Daily BiOp Max Rate of Decrease
707053,Daily BiOp Max Rate of Decrease
707054,Daily BiOp Max Rate of Decrease
707055,Daily BiOp Max Rate of Decrease
707056,Daily BiOp Max Rate of Decrease
707057,Daily BiOp Max Rate of Decrease
707058,Daily BiOp Max Rate of Decrease
707059,Daily BiOp Max Rate of Decrease
707060,Daily BiOp Max Rate of Decrease
707061,Daily BiOp Max Rate of Decrease
707062,GC
707063,GC
707064,500 cfs Max
707065,GC:Max Flow (Winter and Conservation)
707066,500 cfs Max
707067,500 cfs Max
707068,500 cfs Max
707069,GC:Max Flow (Winter and Conservation)
707070,000 cfs Max
707071,000 cfs Max
707072,000 cfs Max
707073,000 cfs Max
707074,000 cfs Max
707075,000 cfs Max
707076,000 cfs Max
707077,000 cfs Max
707078,000 cfs Max
707079,000 cfs Max
707080,GC
707081,GC
707082,GC
707083,GC
707084,GC
707085,GC
707086,GC
707087,GC
707088,GC
707089,GC
707090,GC
707091,GC
707092,GC
707093,GC
707094,GC
707095,GC:Max Flow (Winter and Conservation)
707096,000 cfs Max
707097,GC
707098,GC
707099,GC
707100,GC
707101,GC
707102,GC
707103,GC
707104,GC
707105,GC
707106,GC
707107,GC:Max Flow (Winter and Conservation)
707108,000 cfs Max
707109,000 cfs Max
707110,000 cfs Max
707111,000 cfs Max
707112,000 cfs Max
707113,Daily BiOp Max Rate of Decrease
707114,Daily BiOp Max Rate of Decrease
707115,Daily BiOp Max Rate of Decrease
707116,Daily BiOp Max Rate of Decrease
707117,Daily BiOp Max Rate of Decrease
707118,Min Conserv Flow@FallCrk
707119,GC
707120,GC
707121,GC
707122,GC
707123,GC
707124,GC
707125,GC
707126,GC
707127,GC
707128,GC
707129,GC
707130,GC
707131,GC
707132,GC
707133,GC
707134,GC
707135,GC
707136,GC
707137,GC
707138,GC
707139,GC
707140,GC
707141,GC
707142,GC
707143,GC
707144,GC
707145,GC
707146,GC
707147,GC
707148,GC
707149,GC
707150,GC
707151,GC
707152,GC
707153,GC
707154,GC
707155,GC
707156,GC
707157,GC
707158,GC
707159,GC
707160,GC
707161,GC
707162,GC
707163,GC
707164,GC
707165,GC
707166,GC
707167,GC
707168,GC
707169,GC
707170,GC
707171,GC
707172,GC
707173,GC
707174,GC
707175,ZB
707176,ZB
707177,GC
707178,GC
707179,GC
707180,GC
707181,GC
707182,GC
707183,GC
707184,GC
707185,GC
707186,GC
707187,GC
707188,GC
707189,GC
707190,GC
707191,GC
707192,GC
707193,GC
707194,GC
707195,GC
707196,GC
707197,GC
707198,GC
707199,GC
707200,GC
707201,GC
707202,GC
707203,GC
707204,GC
707205,GC
707206,GC
707207,GC
707208,GC
707209,Min Conserv Flow@FallCrk
707210,Min Conserv Flow@FallCrk
707211,GC
707212,Min Flow - at Albany by Water Year Type
707213,Min Flow - at Albany by Water Year Type
707214,Min Flow - at Albany by Water Year Type
707215,Min Flow - at Albany by Water Year Type
707216,Min Flow - at Albany by Water Year Type
707217,Min Flow - at Albany by Water Year Type
707218,Min Flow - at Albany by Water Year Type
707219,Min Flow - at Albany by Water Year Type
707220,Min Flow - at Albany by Water Year Type
707221,Min Flow - at Albany by Water Year Type
707222,Min Flow - at Albany by Water Year Type
707223,Min Flow - at Albany by Water Year Type
707224,Min Flow - at Albany by Water Year Type
707225,Min Flow - at Albany by Water Year Type
707226,Min Flow - at Albany by Water Year Type
707227,Min Flow - at Albany by Water Year Type
707228,Min Flow - at Albany by Water Year Type
707229,Min Flow - at Salem
707230,Min Flow - at Salem
707231,Min Flow - at Salem
707232,Min Flow - at Salem
707233,Min Flow - at Salem
707234,Min Flow - at Salem
707235,Min Flow - at Salem
707236,Min Flow - at Salem
707237,Min Flow - at Salem
707238,Min Flow - at Salem
707239,Min Flow - at Salem
707240,Min Flow - at Salem
707241,Min Flow - at Salem
707242,Min Flow - at Salem
707243,Min Flow - at Salem
707244,Min Flow - at Salem
707245,Min Flow - at Salem
707246,Min Flow - at Salem
707247,Min Flow - at Salem
707248,Min Flow - at Albany by Water Year Type
707249,Min Flow - at Albany by Water Year Type
707250,Min Flow - at Salem
707251,Min Flow - at Salem
707252,Min Flow - at Salem
707253,Min Flow - at Salem
707254,Min Flow - at Salem
707255,Min Flow - at Salem
707256,Min Flow - at Albany by Water Year Type
707257,Min Flow - at Albany by Water Year Type
707258,Min Flow - at Albany by Water Year Type
707259,Min Flow - at Albany by Water Year Type
707260,Min Flow - at Albany by Water Year Type
707261,Min Flow - at Albany by Water Year Type
707262,Min Flow - at Albany by Water Year Type
