timeInRun,elev_m,inflow_cms,outlfow_cms
706551,112.17,0.57,0.85
706552,112.17,0.71,1.42
706553,112.17,0.65,1.42
706554,112.17,0.7,1.42
706555,112.16,0.67,4.39
706556,112.14,0.6,4.06
706557,112.13,0.6,3.74
706558,112.12,0.62,3.41
706559,112.12,0.73,3.08
706560,112.11,2.05,2.75
706561,112.11,2.18,2.41
706562,112.11,2,2.06
706563,112.03,1.85,26.98
706564,111.95,1.65,26.77
706565,111.86,1.33,26.45
706566,111.78,1.01,24.56
706567,111.69,0.94,24.5
706568,111.61,1.03,24.59
706569,111.53,1.11,23.81
706570,111.42,0.94,27.93
706571,111.31,0.92,27.9
706572,111.21,0.86,26.98
706573,111.1,0.77,25.76
706574,110.99,0.77,25.76
706575,110.89,0.89,24.16
706576,110.78,0.97,22.96
706577,110.67,1.03,23.01
706578,110.53,0.97,27.65
706579,110.39,1.19,27.3
706580,110.25,1.19,25.74
706581,110.12,1.13,24.63
706582,109.98,1.1,23.8
706583,109.84,1.13,22.66
706584,109.7,1.04,22.01
706585,109.44,1.1,36.29
706586,109.18,1.12,32.89
706587,108.92,1.12,29.48
706588,108.66,1.35,26.53
706589,108.4,1.32,23.46
706590,108.14,4.07,23.22
706591,107.88,4.49,20.69
706592,107.62,3.41,16.7
706593,107.59,4.49,6.05
706594,107.62,5.09,3.51
706595,107.62,4.49,4.5
706596,107.62,4.29,4.29
706597,107.62,4.35,4.35
706598,107.62,3.98,3.98
706599,107.62,3.38,3.38
706600,107.62,3.18,3.18
706601,107.62,3.69,3.69
706602,107.62,4.05,4.05
706603,107.62,4.53,4.53
706604,107.62,4.1,4.1
706605,107.62,3.78,3.78
706606,107.62,3.35,3.35
706607,107.62,2.97,2.97
706608,107.62,2.66,2.66
706609,107.62,2.47,2.47
706610,107.62,2.38,2.38
706611,107.62,2.21,2.21
706612,107.62,2.14,2.14
706613,107.62,2.08,2.08
706614,107.62,2.33,2.33
706615,107.62,3.63,3.63
706616,107.62,6.15,6.15
706617,107.62,5.95,5.95
706618,107.62,7.44,7.44
706619,107.62,10.03,10.03
706620,107.62,19.8,19.8
706621,107.62,22.7,22.7
706622,107.62,23.52,23.52
706623,107.62,20.63,20.63
706624,107.62,14.68,14.68
706625,107.62,10.94,10.94
706626,107.62,9.09,9.09
706627,107.62,8.33,8.33
706628,107.62,7.69,7.69
706629,107.62,7.05,7.05
706630,107.62,6.61,6.61
706631,107.62,6.17,6.17
706632,107.62,6.01,6.01
706633,107.62,6.18,6.18
706634,107.62,7.24,7.24
706635,107.62,11.21,11.21
706636,107.62,17.2,17.2
706637,107.62,22.5,22.5
706638,107.62,28.2,28.2
706639,107.62,36.37,36.37
706640,107.62,40.31,40.31
706641,107.62,59.52,59.52
706642,107.62,64.07,64.07
706643,107.62,78.84,78.84
706644,107.82,94.86,84.95
706645,108.19,92.97,70.32
706646,108.6,88.68,56.16
706647,108.85,75.45,51.64
706648,108.96,68.99,57.56
706649,109.13,77.76,60.07
706650,109.75,145.45,63.93
706651,110.93,261.28,49.93
706652,111.93,295.14,36.18
706653,112.64,249,22.34
706654,112.86,149.51,72.58
706655,112.87,110.16,103.34
706656,112.83,97.3,113.27
706657,112.76,88.39,113.06
706658,112.64,72.94,113.27
706659,112.49,58.84,113.27
706660,112.29,48.72,113.27
706661,112.06,40.76,113.27
706662,111.79,34.43,113.27
706663,111.49,29.07,113.27
706664,111.13,25.18,113.27
706665,110.73,22.4,110.44
706666,110.3,19.75,101.1
706667,109.85,17.74,91.12
706668,109.38,15.74,80.65
706669,108.9,14.39,69.84
706670,108.4,13.31,58.59
706671,107.93,12.32,44.8
706672,107.59,11.67,29.05
706673,107.59,11.15,11.15
706674,107.73,12.7,5.57
706675,107.94,13.74,2.79
706676,108.17,16.2,1.42
706677,108.42,20.24,1.42
706678,108.66,21.9,1.42
706679,108.87,21.13,1.42
706680,109.03,18.49,1.42
706681,109.17,17.09,1.42
706682,109.32,19.6,1.42
706683,109.46,19.72,1.42
706684,109.58,17.81,1.42
706685,109.68,14.91,1.42
706686,109.77,13.84,1.42
706687,109.84,12.75,1.42
706688,109.91,12.02,1.42
706689,109.98,11.98,1.42
706690,110.06,14.85,1.42
706691,110.25,32.27,1.42
706692,110.62,69.43,1.42
706693,111.03,92.49,5.93
706694,111.11,90.88,72.52
706695,111.18,75.28,58.36
706696,111.27,67.9,47.86
706697,111.34,64.73,44.91
706698,111.41,65.99,48.36
706699,111.55,52.77,35.15
706700,111.62,43.27,23.81
706701,111.69,36.51,16.93
706702,111.76,30.23,10.65
706703,111.83,25.11,5.53
706704,111.89,22.2,4.5
706705,111.95,19.12,2.25
706706,112,17.14,1.42
706707,112.05,15.59,1.42
706708,112.09,14.29,1.42
706709,112.13,13.33,1.42
706710,112.17,12.74,1.42
706711,112.2,12.12,1.42
706712,112.23,11.9,1.42
706713,112.26,11.67,1.42
706714,112.29,11.22,1.42
706715,112.32,10.71,1.42
