timeInRun,active rule
706551,Unctrl
706552,Daily BiOp Max Rate of Decrease
706553,Daily BiOp Max Rate of Decrease
706554,Daily BiOp Max Rate of Decrease
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,Daily BiOp Max Rate of Decrease:ZB
706594,GC
706595,Conservation
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,GC
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,Conservation
706621,Conservation
706622,Conservation
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,Conservation
706642,Conservation
706643,Conservation
706644,Conservation
706645,Flood Control
706646,Flood Control
706647,Flood Control
706648,Flood Control
706649,Flood Control
706650,Flood Control
706651,Flood Control
706652,GC:Harrisburg 42
706653,Flood Control
706654,Flood Control
706655,Flood Control
706656,Flood Control
706657,Flood Control
706658,Flood Control
706659,Flood Control
706660,Flood Control
706661,Flood Control
706662,Flood Control
706663,Flood Control
706664,Flood Control
706665,Flood Control
706666,Flood Control
706667,Flood Control
706668,Flood Control
706669,Flood Control
706670,Flood Control
706671,Flood Control
706672,Conservation
706673,Inactive
706674,Daily BiOp Max Rate of Decrease
706675,Daily BiOp Max Rate of Decrease
706676,Min Flow out of Fern Ridge
706677,Min Flow out of Fern Ridge
706678,Min Flow out of Fern Ridge
706679,Min Flow out of Fern Ridge
706680,Min Flow out of Fern Ridge
706681,Min Flow out of Fern Ridge
706682,Min Flow out of Fern Ridge
706683,Min Flow out of Fern Ridge
706684,Min Flow out of Fern Ridge
706685,Min Flow out of Fern Ridge
706686,Min Flow out of Fern Ridge
706687,Min Flow out of Fern Ridge
706688,Min Flow out of Fern Ridge
706689,Min Flow out of Fern Ridge
706690,Min Flow out of Fern Ridge
706691,Min Flow out of Fern Ridge
706692,Min Flow out of Fern Ridge
706693,GC
706694,GC
706695,Daily BiOp Max Rate of Decrease
706696,GC
706697,GC
706698,GC
706699,GC
706700,GC
706701,GC
706702,GC
706703,GC
706704,GC
706705,Daily BiOp Max Rate of Decrease
706706,Min Flow out of Fern Ridge
706707,Min Flow out of Fern Ridge
706708,Min Flow out of Fern Ridge
706709,Min Flow out of Fern Ridge
706710,Min Flow out of Fern Ridge
706711,Min Flow out of Fern Ridge
706712,Min Flow out of Fern Ridge
706713,Min Flow out of Fern Ridge
706714,Min Flow out of Fern Ridge
706715,Min Flow out of Fern Ridge
706716,Min Flow out of Fern Ridge
706717,Min Flow out of Fern Ridge
706718,Min Flow out of Fern Ridge
706719,Min Flow out of Fern Ridge
706720,Min Flow out of Fern Ridge
706721,Min Flow out of Fern Ridge
706722,Min Flow out of Fern Ridge
706723,Min Flow out of Fern Ridge
706724,Min Flow out of Fern Ridge
706725,Min Flow out of Fern Ridge
706726,Min Flow out of Fern Ridge
706727,Min Flow out of Fern Ridge
706728,Min Flow out of Fern Ridge
706729,Min Flow out of Fern Ridge
706730,Min Flow out of Fern Ridge
706731,Min Flow out of Fern Ridge
706732,Min Flow out of Fern Ridge
706733,Min Flow out of Fern Ridge
706734,Min Flow out of Fern Ridge
706735,Min Flow out of Fern Ridge
706736,Min Flow out of Fern Ridge
706737,Min Flow out of Fern Ridge
706738,Min Flow out of Fern Ridge
706739,Min Flow out of Fern Ridge
706740,Min Flow out of Fern Ridge
706741,Min Flow out of Fern Ridge
706742,Min Flow out of Fern Ridge
706743,Min Flow out of Fern Ridge
706744,Min Flow out of Fern Ridge
706745,Min Flow out of Fern Ridge
706746,Min Flow out of Fern Ridge
706747,Min Flow out of Fern Ridge
706748,Min Flow out of Fern Ridge
706749,Min Flow out of Fern Ridge
706750,Min Flow out of Fern Ridge
706751,Min Flow out of Fern Ridge
706752,Min Flow out of Fern Ridge
706753,Min Flow out of Fern Ridge
706754,Min Flow out of Fern Ridge
706755,Min Flow out of Fern Ridge
706756,Min Flow out of Fern Ridge
706757,Min Flow out of Fern Ridge
706758,Min Flow out of Fern Ridge
706759,Min Flow out of Fern Ridge
706760,Min Flow out of Fern Ridge
706761,Min Flow out of Fern Ridge
706762,Min Flow out of Fern Ridge
706763,Min Flow out of Fern Ridge
706764,Min Flow out of Fern Ridge
706765,Min Flow out of Fern Ridge
706766,Min Flow out of Fern Ridge
706767,Min Flow out of Fern Ridge
706768,Min Flow out of Fern Ridge
706769,Min Flow out of Fern Ridge
706770,Min Flow out of Fern Ridge
706771,Min Flow out of Fern Ridge
706772,Min Flow out of Fern Ridge
706773,Min Flow out of Fern Ridge
706774,Min Flow out of Fern Ridge
706775,Min Flow out of Fern Ridge
706776,Min Flow out of Fern Ridge
706777,Min Flow out of Fern Ridge
706778,Min Flow out of Fern Ridge
706779,Min Flow out of Fern Ridge
706780,Min Flow out of Fern Ridge
706781,Min Flow out of Fern Ridge
706782,Min Flow out of Fern Ridge
706783,Min Flow out of Fern Ridge
706784,Min Flow out of Fern Ridge
706785,Min Flow out of Fern Ridge
