timeInRun,active rule
706551,Unctrl
706552,GC
706553,GC
706554,GC
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,Conservation
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,GC
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,Conservation
706621,Conservation
706622,Conservation
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,Conservation
706642,Conservation
706643,Conservation
706644,Conservation
706645,Conservation
706646,Flood Control
706647,Flood Control
706648,Conservation
706649,Conservation
706650,Conservation
706651,Flood Control
706652,Daily BiOp Max Rate of Decrease
706653,Flood Control
706654,Flood Control
706655,Flood Control
706656,Flood Control
706657,Flood Control
706658,Conservation
706659,Flood Control
706660,Flood Control
706661,Flood Control
706662,Conservation
706663,Conservation
706664,Conservation
706665,Conservation
706666,Conservation
706667,Conservation
706668,Conservation
706669,Conservation
706670,Buffer
706671,Conservation
706672,Conservation
706673,Conservation
706674,MinConservFlow_Fostr
706675,MinConservFlow_Fostr
706676,MinConservFlow_Fostr
706677,MinConservFlow_Fostr
706678,MinConservFlow_Fostr
706679,MinConservFlow_Fostr
706680,MinConservFlow_Fostr
706681,MinConservFlow_Fostr
706682,MinConservFlow_Fostr
706683,MinConservFlow_Fostr
706684,MinConservFlow_Fostr
706685,MinConservFlow_Fostr
706686,MinConservFlow_Fostr
706687,MinConservFlow_Fostr
706688,MinConservFlow_Fostr
706689,MinConservFlow_Fostr
706690,MinConservFlow_Fostr
706691,GC
706692,GC
706693,GC
706694,GC
706695,GC
706696,GC
706697,GC
706698,GC
706699,GC
706700,GC
706701,GC
706702,GC
706703,GC
706704,GC
706705,GC
706706,GC
706707,GC
706708,GC
706709,GC
706710,GC
706711,GC
706712,GC
706713,GC
706714,GC
706715,GC
706716,MinConservFlow_Fostr
706717,MinConservFlow_Fostr
706718,MinConservFlow_Fostr
706719,MinConservFlow_Fostr
