timeInRun,elev_m,inflow_cms,outlfow_cms
706551,299.72,2.41,42.48
706552,299.25,3.02,71.96
706553,298.84,2.67,63.52
706554,298.57,2.49,40.98
706555,298.29,2.43,41.16
706556,298.03,2.35,41.19
706557,297.76,2.32,41.19
706558,297.48,2.43,41.13
706559,297.23,4.61,39.94
706560,297.21,28.82,32.2
706561,297.23,32.22,29.39
706562,297.12,19.14,33.84
706563,297.03,11.46,25.27
706564,296.89,8.31,26.93
706565,296.74,6.69,27.58
706566,296.59,5.75,27.95
706567,296.25,5.47,52.91
706568,295.94,9.18,52.77
706569,295.71,12.15,43.67
706570,295.51,8.3,35.28
706571,295.31,6.83,35.56
706572,295.05,6.23,40.71
706573,294.76,5.92,45
706574,294.45,5.47,47.31
706575,294.13,5.87,49.07
706576,293.83,7.28,46.88
706577,293.61,6.22,33.96
706578,293.44,5.73,27.95
706579,293.27,5.96,28.32
706580,293.1,5.48,28.49
706581,292.92,4.94,28.88
706582,292.88,5.28,10.27
706583,292.62,5.28,38.97
706584,292.36,5.21,37.76
706585,292.09,5.43,40.13
706586,291.82,6.64,41.33
706587,291.54,26.52,61.21
706588,291.27,16.92,51.61
706589,290.99,14.06,48.33
706590,290.72,66.33,100.03
706591,290.44,44.53,79.08
706592,290.17,27.82,61.23
706593,289.99,36.88,58.62
706594,289.81,52.42,73.92
706595,289.63,39.1,60
706596,289.46,26.92,48.32
706597,289.28,21.54,43.28
706598,289.1,17.52,38.53
706599,288.92,16.87,37.77
706600,288.73,18.1,39.97
706601,288.55,25.32,47.18
706602,288.36,26.08,47.94
706603,288.17,21.49,43.35
706604,287.99,18.72,40.58
706605,287.8,16.82,38.68
706606,287.61,15.12,36.43
706607,287.43,13.96,34.95
706608,287.23,12.97,35
706609,287.03,12.24,34.26
706610,286.84,11.47,33.5
706611,286.64,10.8,32.83
706612,286.45,10.18,32.2
706613,286.25,9.61,31.64
706614,286.05,12.47,33.78
706615,285.85,20.51,42.5
706616,285.65,36.02,58.72
706617,285.45,26.22,48.23
706618,285.25,36.24,57.99
706619,285.05,53.24,74.99
706620,284.84,93.72,115.48
706621,284.64,57.48,79.04
706622,284.44,42.47,63.28
706623,284.23,34.26,56.55
706624,284.02,29.73,52.05
706625,283.81,26.44,48.03
706626,283.6,23.38,44.97
706627,283.39,21.25,42.85
706628,283.18,19.24,40.83
706629,282.97,17.94,39.53
706630,282.76,17.29,38.88
706631,282.55,15.99,38.31
706632,282.33,15.54,36.86
706633,282.11,17.18,39.12
706634,281.9,17.83,39.96
706635,281.68,43.6,64.93
706636,281.46,50.4,71.72
706637,281.25,46.98,67.9
706638,281.03,64.22,84.53
706639,281.03,77.81,77.81
706640,281.03,75.93,75.93
706641,283.43,372.13,131.73
706642,284.19,210.67,131.67
706643,289.09,581.61,34.33
706644,290.87,326.72,111.07
706645,290.29,165.03,236.38
706646,289.08,119.72,264.45
706647,288.91,111.79,131.67
706648,288.96,137,131.67
706649,290.26,287.08,131.67
706650,293.06,420.17,66.2
706651,295.38,309.73,1.42
706652,297.24,261.59,1.42
706653,298.41,174.66,7.37
706654,298.05,132.48,184.86
706655,296.98,107.86,259.04
706656,295.66,86.93,270.87
706657,294.16,74.75,278.99
706658,292.94,100.55,260.39
706659,291.69,104.25,264.45
706660,290.13,83.86,277.63
706661,289.62,70.55,131.67
706662,289.08,67.72,131.67
706663,288.49,62.34,131.67
706664,287.84,55.02,131.67
706665,287.11,49.08,131.67
706666,286.32,43.46,131.67
706667,285.49,40.07,131.67
706668,284.6,36.12,131.67
706669,283.66,33.04,131.67
706670,282.68,31.34,131.67
706671,282.23,28.48,73.77
706672,282.2,26.78,29.73
706673,282.37,25.26,8.18
706674,282.54,25.26,8.4
706675,282.7,24.5,8.86
706676,283.03,36.74,1.83
706677,283.36,33.94,0.4
706678,283.57,27.71,5.94
706679,283.75,25.3,7.23
706680,283.89,23.74,8.66
706681,284.06,23.75,6.99
706682,284.44,41.33,0
706683,285.15,74.75,0
706684,285.62,51.25,0
706685,285.99,41.05,0.03
706686,286.31,35.96,1.54
706687,286.57,32.84,3.48
706688,286.81,31.14,4.07
706689,287.04,30.29,3.81
706690,287.33,32.84,0.22
706691,288.57,143.28,0
706692,289.93,160.29,0
706693,290.83,111.88,0
706694,291.48,80.73,0
706695,292,65.16,0
706696,292.52,66.29,0
706697,293.07,71.96,0
706698,293.64,74.79,0
706699,294.79,77.4,0
706700,295.45,89.86,0
706701,296.12,93.29,0
706702,296.67,77.43,0
706703,297.09,67.52,9.31
706704,297.27,61.01,35.85
706705,297.45,53.36,28.2
706706,297.63,57.04,31.88
706707,297.8,86.78,61.54
706708,297.98,67.52,41.52
706709,298.16,55.91,29.91
706710,298.34,58.46,32.46
706711,298.52,57.04,31.61
706712,298.7,57.04,31.88
706713,298.88,63.56,37.57
706714,299.06,53.39,27.16
706715,299.24,48.86,22.02
706716,299.42,43.2,16.84
706717,299.55,38.95,19.37
706718,299.69,39.8,20.16
706719,299.84,42.07,19.32
706720,299.97,38.97,20.2
706721,300.07,35.87,21.2
706722,300.14,32.75,21.9
706723,300.19,30.2,23.54
706724,300.26,32.75,21.73
706725,300.77,76.93,0
706726,301.18,80.61,19.45
706727,301.36,53.42,27.15
706728,301.53,43.23,17.41
706729,301.64,36.73,19.42
706730,301.7,32.37,22.79
706731,301.74,30.68,24.69
706732,301.8,32.38,22.95
706733,301.9,35.5,20.16
706734,301.96,30.68,22.07
706735,302.01,29.84,22.74
706736,302.16,39.48,15.72
706737,302.4,46.29,10.28
706738,302.62,46.29,11.19
706739,302.98,59.6,4.37
706740,303.53,93.02,7.33
706741,303.69,115.4,89.83
706742,303.86,111.46,86.13
706743,304.02,96.45,70.24
706744,304.19,93.05,66.7
706745,304.35,93.05,66.7
706746,304.52,83.42,57.07
706747,304.68,74.36,48.01
706748,304.85,63.32,36.97
706749,305.01,58.22,31.87
706750,305.17,59.64,34.15
706751,305.33,58.22,32.74
706752,305.49,54.54,28.66
706753,305.65,64.73,38.5
706754,305.81,67.28,41.05
706755,305.97,53.13,26.89
706756,306.13,47.46,21.23
706757,306.29,44.06,17.83
706758,306.45,40.67,14.99
706759,306.59,38.68,15.97
706760,306.72,38.09,16.8
706761,306.84,36.96,16.71
706762,307.02,42.34,12.9
706763,307.23,52.53,16.32
706764,307.39,79.72,54
706765,307.54,73.77,48.79
706766,307.7,60.18,34.48
706767,307.85,51.4,25.7
706768,307.85,48,48
706769,307.85,49.13,49.13
