timeInRun,active rule
706551,Unctrl
706552,Min Flow - at Salem
706553,Min Flow - at Salem
706554,Min Con Flow from Foster
706555,Min Con Flow from Foster
706556,Min Con Flow from Foster
706557,Min Con Flow from Foster
706558,Min Con Flow from Foster
706559,Min Con Flow from Foster
706560,Min Con Flow from Foster
706561,Min Con Flow from Foster
706562,Min Con Flow from Foster
706563,Min Con Flow from Foster
706564,Min Con Flow from Foster
706565,Min Con Flow from Foster
706566,Min Con Flow from Foster
706567,Min Flow - at Salem
706568,Min Flow - at Salem
706569,Min Flow - at Salem
706570,Min Flow - at Salem
706571,Min Flow - at Salem
706572,Min Flow - at Salem
706573,Min Flow - at Salem
706574,Min Flow - at Salem
706575,Min Flow - at Salem
706576,Min Flow - at Salem
706577,Min Flow - at Salem
706578,Min Con Flow from Foster
706579,Min Con Flow from Foster
706580,Min Con Flow from Foster
706581,Min Con Flow from Foster
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,Flood Control
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,GC
706614,GC
706615,GC
706616,GC
706617,GC
706618,GC
706619,GC
706620,Flood Control
706621,Flood Control
706622,Flood Control
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,GC
706629,GC
706630,GC
706631,GC
706632,GC
706633,GC
706634,GC
706635,GC
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,Conservation
706642,Flood Control
706643,Flood Control
706644,Flood Control
706645,Flood Control
706646,Flood Control
706647,Flood Control
706648,Flood Control
706649,Flood Control
706650,Flood Control
706651,0
706652,0
706653,0
706654,Flood Control
706655,Flood Control
706656,Flood Control
706657,Flood Control
706658,Flood Control
706659,Flood Control
706660,Flood Control
706661,Flood Control
706662,Flood Control
706663,Flood Control
706664,Flood Control
706665,Flood Control
706666,Flood Control
706667,Flood Control
706668,Flood Control
706669,Flood Control
706670,Flood Control
706671,Flood Control
706672,Conservation
706673,Conservation
706674,Min Con Flow from Foster
706675,Min Con Flow from Foster
706676,Min Con Flow from Foster
706677,Min Con Flow from Foster
706678,Min Con Flow from Foster
706679,Min Con Flow from Foster
706680,Min Con Flow from Foster
706681,Min Con Flow from Foster
706682,MinLimit
706683,MinLimit
706684,MinLimit
706685,Min Con Flow from Foster
706686,Min Con Flow from Foster
706687,Min Con Flow from Foster
706688,Min Con Flow from Foster
706689,Min Con Flow from Foster
706690,Min Con Flow from Foster
706691,MinLimit
706692,MinLimit
706693,MinLimit
706694,MinLimit
706695,MinLimit
706696,MinLimit
706697,MinLimit
706698,MinLimit
706699,MinLimit
706700,MinLimit
706701,MinLimit
706702,MinLimit
706703,GC
706704,GC
706705,GC
706706,GC
706707,GC
706708,GC
706709,GC
706710,GC
706711,GC
706712,GC
706713,GC
706714,GC
706715,GC
706716,GC
706717,Min Con Flow from Foster
706718,Min Con Flow from Foster
706719,Min Con Flow from Foster
706720,Min Con Flow from Foster
706721,Min Con Flow from Foster
706722,Min Con Flow from Foster
706723,Min Con Flow from Foster
706724,Min Con Flow from Foster
706725,MinLimit
706726,GC
706727,GC
706728,GC
706729,Min Con Flow from Foster
706730,Min Con Flow from Foster
706731,Min Con Flow from Foster
706732,Min Con Flow from Foster
706733,Min Con Flow from Foster
706734,Min Con Flow from Foster
706735,Min Con Flow from Foster
706736,Min Con Flow from Foster
706737,Min Con Flow from Foster
706738,Min Con Flow from Foster
706739,Min Con Flow from Foster
706740,GC
706741,GC
706742,GC
706743,GC
706744,GC
706745,GC
706746,GC
706747,GC
706748,GC
706749,GC
706750,GC
706751,GC
706752,GC
706753,GC
706754,GC
706755,GC
706756,GC
706757,GC
706758,Min Con Flow from Foster
706759,Min Con Flow from Foster
706760,Min Con Flow from Foster
706761,Min Con Flow from Foster
706762,Min Con Flow from Foster
706763,GC
706764,GC
706765,GC
706766,GC
706767,GC
706768,GC
706769,GC
706770,GC
706771,GC
706772,GC
706773,GC
706774,GC
706775,GC
706776,GC
706777,GC
706778,GC
706779,GC
706780,GC
706781,GC
706782,GC
706783,GC
706784,GC
706785,GC
706786,GC
706787,GC
706788,GC
706789,GC
706790,GC
706791,GC
706792,GC
706793,GC
706794,GC
706795,Min Con Flow from Foster
706796,GC
706797,GC
706798,GC
706799,GC
706800,GC
706801,GC
