timeInRun,elev_m,inflow_cms,outlfow_cms,active rule
706551.00,461.41,7.67,11.33,Min Flow - at Albany by Water Year Type
706552.00,460.98,7.35,53.12,Min Flow - at Albany by Water Year Type
706553.00,460.47,7.15,62,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706554.00,459.96,7.07,60.92,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706555.00,459.5,6.95,55.44,Min Flow - at Salem:Max Flow (Winter and Conservation)
706556.00,459.1,6.67,49.39,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706557.00,458.69,6.67,49.5,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706558.00,458.28,7.07,49.52,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706559.00,457.88,8.43,49.44,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706560.00,457.5,10.61,49.28,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706561.00,457.15,14.63,49.06,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706562.00,456.74,11.43,52.97,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706563.00,456.3,9.96,55.14,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706564.00,455.82,8.43,55.98,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706565.00,455.34,7.89,54.68,Min Flow - at Albany by Water Year Type:Max Flow (Winter and Conservation)
706566.00,454.9,7.58,51.41,Min Flow - at Albany by Water Year Type
706567.00,454.45,7.46,50.06,Min Flow - at Albany by Water Year Type
706568.00,454.01,8.12,50.24,Min Flow - at Albany by Water Year Type
706569.00,453.57,8.65,50.4,Min Flow - at Albany by Water Year Type
706570.00,453.13,7.77,50.54,Min Flow - at Albany by Water Year Type
706571.00,452.67,7.57,50.66,Min Flow - at Albany by Water Year Type
706572.00,452.19,7.46,50.77,Min Flow - at Albany by Water Year Type
706573.00,451.72,7.26,50.85,Min Flow - at Albany by Water Year Type
706574.00,451.23,7.15,50.91,Min Flow - at Albany by Water Year Type
706575.00,450.74,7.34,50.95,Min Flow - at Albany by Water Year Type
706576.00,450.27,7.77,50.97,Revised Daily BiOp Max Rate of Decrease
706577.00,450.04,7.57,27.75,Revised Daily BiOp Max Rate of Decrease
706578.00,449.95,7.65,15.36,MinRelease
706579.00,449.91,7.93,11.33,MinRelease
706580.00,449.86,7.61,11.33,MinRelease
706581.00,449.82,7.32,11.33,MinRelease
706582.00,449.77,7.4,11.33,MinRelease
706583.00,449.73,7.51,11.33,MinRelease
706584.00,449.69,7.71,11.33,MinRelease
706585.00,449.66,8.68,11.33,MinRelease
706586.00,449.64,9.5,11.33,MinRelease
706587.00,449.65,12.39,11.33,MinRelease
706588.00,449.64,10.6,11.33,MinRelease
706589.00,449.62,9.38,11.33,GC
706590.00,449.68,16.83,11.64,GC
706591.00,449.73,17.06,12.21,GC
706592.00,449.73,12.67,12.78,MinRelease
706593.00,449.7,13.94,16.89,MinRelease
706594.00,449.72,18.7,16.9,GC
706595.00,449.18,14.57,61.88,GC
706596.00,448.57,11.96,63.79,GC
706597.00,447.96,10.72,63.11,GC
706598.00,447.35,9.98,59.95,GC
706599.00,446.75,9.84,60.8,GC
706600.00,446.07,11,65.82,GC
706601.00,445.4,14.25,67.65,GC
706602.00,444.73,13.09,66.49,GC
706603.00,444.06,11.68,63.5,GC
706604.00,443.39,10.71,62.4,GC
706605.00,442.72,9.98,60.94,GC
706606.00,442.05,9.61,60.58,GC
706607.00,441.38,9.38,58.21,ZB
706608.00,441.35,9.13,11.37,MinRelease
706609.00,441.35,8.97,8.97,MinRelease
706610.00,441.35,8.74,8.74,MinRelease
706611.00,441.35,8.63,8.63,MinRelease
706612.00,441.35,8.43,8.43,MinRelease
706613.00,441.35,8.43,8.43,MinRelease
706614.00,441.35,9.56,9.56,MinRelease
706615.00,441.36,11.89,11.33,GC
706616.00,441.38,17.71,16.03,GC
