timeInRun,elev_m,inflow_cms,outlfow_cms
706551,461.41,7.67,11.33
706552,460.98,7.35,53.12
706553,460.47,7.15,62
706554,459.96,7.07,60.92
706555,459.5,6.95,55.44
706556,459.1,6.67,49.39
706557,458.69,6.67,49.5
706558,458.28,7.07,49.52
706559,457.88,8.43,49.44
706560,457.5,10.61,49.28
706561,457.15,14.63,49.06
706562,456.74,11.43,52.97
706563,456.3,9.96,55.14
706564,455.82,8.43,55.98
706565,455.34,7.89,54.68
706566,454.9,7.58,51.41
706567,454.45,7.46,50.06
706568,454.01,8.12,50.24
706569,453.57,8.65,50.4
706570,453.13,7.77,50.54
706571,452.67,7.57,50.66
706572,452.19,7.46,50.77
706573,451.72,7.26,50.85
706574,451.23,7.15,50.91
706575,450.74,7.34,50.95
706576,450.27,7.77,50.97
706577,450.04,7.57,27.75
706578,449.95,7.65,15.36
706579,449.91,7.93,11.33
706580,449.86,7.61,11.33
706581,449.82,7.32,11.33
706582,449.77,7.4,11.33
706583,449.73,7.51,11.33
706584,449.69,7.71,11.33
706585,449.66,8.68,11.33
706586,449.64,9.5,11.33
706587,449.65,12.39,11.33
706588,449.64,10.6,11.33
706589,449.62,9.38,11.33
706590,449.68,16.83,11.64
706591,449.73,17.06,12.21
706592,449.73,12.67,12.78
706593,449.7,13.94,16.89
706594,449.72,18.7,16.9
706595,449.18,14.57,61.88
706596,448.57,11.96,63.79
706597,447.96,10.72,63.11
706598,447.35,9.98,59.95
706599,446.75,9.84,60.8
706600,446.07,11,65.82
706601,445.4,14.25,67.65
706602,444.73,13.09,66.49
706603,444.06,11.68,63.5
706604,443.39,10.71,62.4
706605,442.72,9.98,60.94
706606,442.05,9.61,60.58
706607,441.38,9.38,58.21
706608,441.35,9.13,11.37
706609,441.35,8.97,8.97
706610,441.35,8.74,8.74
706611,441.35,8.63,8.63
706612,441.35,8.43,8.43
706613,441.35,8.43,8.43
706614,441.35,9.56,9.56
706615,441.36,11.89,11.33
706616,441.38,17.71,16.03
706617,441.38,14.03,14.03
706618,441.38,20.59,20.59
706619,441.38,27.08,27.08
706620,441.69,51.43,28.77
706621,441.67,32.17,33.3
706622,441.53,22.68,33.06
706623,441.38,18.06,29.17
706624,441.38,15.74,15.89
706625,441.38,14.37,14.24
706626,441.38,13.35,13.35
706627,441.38,12.23,12.23
706628,441.38,11.38,11.38
706629,441.38,11,11.33
706630,441.37,10.49,11.33
706631,441.35,10.11,11.18
706632,441.35,9.97,9.97
706633,441.35,10.73,10.73
706634,441.35,11.12,11.12
706635,441.38,13.63,11.39
706636,441.38,14.51,14.51
706637,441.38,18.27,18.27
706638,441.38,27.78,27.78
706639,441.46,35,28.77
706640,441.48,31.55,30.01
706641,443.38,172.57,30.31
706642,443.74,86.76,58.58
706643,445.62,210.79,63.94
706644,446.38,152.73,91.94
706645,446.01,73.16,103.18
706646,445.43,51.35,97.7
706647,444.89,45.97,89.03
706648,444.82,75.71,80.98
706649,444.91,86.75,79.99
706650,446.49,209.08,81.26
706651,446.8,129.79,104.93
706652,447.75,187.85,109.55
706653,448.52,172.56,107.14
706654,449.57,129.8,38.85
706655,449.47,106.01,115.33
706656,448.77,75.71,135.52
706657,448.32,53.06,92.85
706658,447.84,51.37,91.11
706659,447.35,47.69,87.98
706660,446.87,42.59,83.13
706661,446.37,39.48,80.3
706662,446.03,41.18,68.59
706663,445.77,41.18,61.77
706664,445.49,39.48,61.93
706665,445.17,36.65,62.5
706666,444.81,35.53,63.61
