timeInRun,elev_m,inflow_cms,outlfow_cms
706551,273.29,23.35,33.98
706552,273.19,59.31,76.68
706553,272.92,72.54,119.33
706554,272.64,72.26,119.73
706555,272.36,67.08,113.98
706556,272.08,61.23,108.13
706557,271.81,60.62,107.52
706558,271.53,61.03,107.93
706559,271.25,63.24,110.03
706560,270.97,65.52,111.11
706561,270.69,69.17,114.76
706562,270.4,70.31,117.78
706563,270.11,70.68,118.15
706564,269.82,70.23,117.7
706565,269.53,68.12,114.59
706566,269.25,64.51,110.63
706567,268.96,62.86,108.98
706568,268.67,64.12,110.24
706569,268.38,66.85,112.96
706570,268.07,64.76,112.59
706571,267.77,63.86,110.97
706572,267.46,63.57,110.69
706573,267.16,63.67,110.07
706574,266.85,63.53,109.93
706575,266.55,63.69,110.09
706576,266.24,65.38,111.06
706577,265.94,44.57,90.25
706578,265.62,30.71,78.21
706579,265.29,26.04,73.71
706580,264.97,24.81,72.15
706581,264.65,24.02,69.76
706582,264.33,23.92,70.32
706583,264,24.18,69.76
706584,263.68,24.48,71.05
706585,263.34,25.62,73.91
706586,263,26.52,73.31
706587,262.65,34.22,82.01
706588,262.31,32.72,79.29
706589,261.97,28.67,75.25
706590,261.63,36.93,83.51
706591,261.28,43.2,88.67
706592,260.94,35.32,80.29
706593,260.36,37.67,114.19
706594,259.77,49.13,123.19
706595,259.19,81.68,155.47
706596,258.61,85.63,157.2
706597,258.02,84.46,155.52
706598,257.44,78.38,147.45
706599,256.85,78.03,146.36
706600,256.18,82.94,159.32
706601,255.51,89.71,165.09
706602,254.84,88.81,162.9
706603,254.17,84.16,156.4
706604,253.5,81.61,151.99
706605,252.83,79.18,148.28
706606,252.16,77.74,145.84
706607,251.49,75.2,141.16
706608,251.49,32.99,32.99
706609,251.49,25.36,25.36
706610,251.49,23.72,23.72
706611,251.49,23.71,23.71
706612,251.49,23.15,23.15
706613,251.49,22.75,22.75
706614,251.46,24.88,27.88
706615,251.46,29.15,29.15
706616,251.49,41.92,38.92
706617,251.49,38.25,38.25
706618,251.49,47.47,47.47
706619,251.49,58.49,58.49
706620,251.74,102.86,78.69
706621,251.49,83.69,107.86
706622,251.49,71.91,71.91
706623,251.49,62.74,62.74
706624,251.49,46.08,46.08
706625,251.49,40.63,40.63
706626,251.49,38.18,38.18
706627,251.49,34.52,34.52
706628,251.48,32.49,33.98
706629,251.46,31.64,33.15
706630,251.46,31.05,31.05
706631,251.46,30.19,30.19
706632,251.46,28.82,28.82
706633,251.46,30.06,30.06
706634,251.46,31.19,31.19
706635,251.46,33.34,33.34
706636,251.49,41.43,38.43
706637,251.49,43.85,43.85
706638,251.49,52.8,52.8
706639,251.49,63.04,63.04
706640,251.49,66,66
706641,252.62,200.06,87.71
706642,252.72,201.03,190.89
706643,253.73,301.34,196.91
706644,254.44,315.87,240.5
706645,254.47,260.2,257.24
706646,254.09,216.98,257.89
706647,253.51,188.36,248.81
706648,253.14,197.49,235.38
706649,253.1,218.49,222.91
706650,254.12,327.05,220.28
706651,256.07,285.31,71.53
706652,258.53,322.98,33.98
706653,260.54,286.54,33.98
706654,260.91,229.39,181.07
706655,260.91,273.84,273.84
706656,260.82,277.12,288.35
706657,260.32,219.73,285.12
706658,259.72,199.35,275.81
706659,259.14,190.04,262.96
706660,258.54,175.45,248.77
706661,257.94,159.23,233.49
706662,257.52,146.83,195.53
706663,257.2,139.47,177.36
706664,256.84,135.84,177.36
706665,256.43,130.43,177.36
706666,255.98,126.36,177.36
706667,255.51,123.9,177.36
706668,254.98,118.85,177.36
706669,254.39,114,177.36
706670,253.74,108.17,177.36
706671,252.88,99.39,187.86
706672,252.13,74.15,151.05
706673,251.49,56.52,118.79
706674,251.46,51.78,55.05
706675,251.57,49.76,38.8
706676,251.74,51.02,33.98
706677,251.99,57.86,33.98
706678,252.18,52.79,33.98
706679,252.35,50.71,33.98
706680,252.49,48.32,33.98
706681,252.63,48.98,33.98
706682,252.82,52.91,33.98
706683,253.21,74.31,33.98
706684,253.59,73.25,33.98
706685,253.92,67.79,33.98
706686,254.19,62.88,33.98
706687,254.44,60.89,33.98
706688,254.68,60.41,33.98
706689,254.92,59.93,33.98
706690,255.25,70.08,33.98
706691,255.96,113.97,33.98
706692,257.08,161.34,33.98
706693,258.08,152.47,33.98
706694,258.87,130.65,33.98
706695,259.49,111.23,33.98
706696,260.01,99.6,33.98
706697,260.52,99.6,33.98
706698,261.19,121.99,33.98
706699,262.46,116.58,33.98
706700,263.12,125.24,33.98
706701,263.81,130.57,33.98
706702,264.42,120.83,33.98
706703,264.96,111.15,33.98
706704,265.42,101.21,33.98
706705,265.82,92.43,33.98
706706,266.16,86.18,33.98
706707,266.66,107.93,33.98
706708,267.1,101.62,33.98
706709,267.47,90.92,33.98
706710,267.81,85.76,33.98
706711,268.13,83.08,33.98
706712,268.41,78.8,33.98
706713,268.68,76.71,33.98
706714,268.92,72.46,33.98
706715,269.14,68.3,33.98
706716,269.33,65.24,33.98
706717,269.5,61.04,33.98
706718,269.68,61.79,33.98
706719,269.87,65.6,33.98
706720,270.07,66.14,33.98
706721,270.25,63.6,33.98
706722,270.42,62.75,33.98
706723,270.58,59.27,33.98
706724,270.72,56.96,33.98
706725,270.92,67.37,33.98
706726,271.33,101.38,33.98
706727,271.63,83.4,33.98
706728,271.85,72.04,33.98
706729,272.03,64.8,33.98
706730,272.19,59.89,33.98
706731,272.32,56.35,33.98
706732,272.46,56.87,33.98
706733,272.63,63.99,33.98
706734,272.8,61.99,33.98
706735,272.94,58.08,33.98
706736,273.11,64.49,33.98
706737,273.36,77.17,33.98
706738,273.62,78.59,33.98
706739,273.91,83.89,33.98
706740,274.34,110.26,33.98
706741,274.95,142.91,33.98
706742,275.62,151.9,33.98
706743,276.23,146,33.98
706744,276.85,146,33.98
706745,277.51,154.73,33.98
706746,278.12,148.55,33.98
706747,278.51,142.09,69.06
706748,278.69,129.26,94.59
706749,278.88,122.91,88.24
706750,278.88,122.42,122.42
706751,278.88,128.28,128.28
706752,278.88,147.29,147.29
