timeInRun,active rule
706551,GC
706552,GC
706553,GC
706554,GC
706555,GC
706556,GC
706557,GC
706558,GC
706559,GC
706560,GC
706561,GC
706562,GC
706563,GC
706564,GC
706565,GC
706566,GC
706567,GC
706568,GC
706569,GC
706570,GC
706571,GC
706572,GC
706573,GC
706574,GC
706575,GC
706576,GC
706577,GC
706578,GC
706579,GC
706580,GC
706581,GC
706582,GC
706583,GC
706584,GC
706585,GC
706586,GC
706587,GC
706588,GC
706589,GC
706590,GC
706591,GC
706592,GC
706593,GC
706594,GC
706595,GC:HCR power max release
706596,GC
706597,GC
706598,GC
706599,GC
706600,GC
706601,GC
706602,GC
706603,GC
706604,GC
706605,GC
706606,GC
706607,GC
706608,GC
706609,GC
706610,GC
706611,GC
706612,GC
706613,GC
706614,ZB
706615,ZB
706616,GC
706617,GC
706618,GC
706619,GC
706620,GC:Max Flow (Winter and Conservation)
706621,GC:Max Flow (Winter and Conservation)
706622,GC:Max Flow (Winter and Conservation)
706623,GC
706624,GC
706625,GC
706626,GC
706627,GC
706628,Min Flow - at LOP
706629,ZB
706630,ZB
706631,ZB
706632,ZB
706633,ZB
706634,ZB
706635,ZB
706636,GC
706637,GC
706638,GC
706639,GC
706640,GC
706641,GC:Max Flow (Winter and Conservation)
706642,GC:Max Flow (Winter and Conservation)
706643,GC:HCR power max release
706644,GC:HCR power max release
706645,GC:HCR power max release
706646,GC:HCR power max release
706647,GC:HCR power max release
706648,GC:HCR power max release
706649,GC:HCR power max release
706650,GC:HCR power max release
706651,Unctrl
706652, 
706653,Unctrl
706654,GC:Tandem - HCR and LOP
706655,GC:HCR power max release
706656,GC:HCR power max release
706657,GC:HCR power max release
706658,GC:HCR power max release
706659,GC:HCR power max release
706660,GC:HCR power max release
706661,GC:HCR power max release
706662,GC:HCR power max release
706663,GC:HCR power max release
706664,GC:HCR power max release
706665,GC:HCR power max release
706666,GC:HCR power max release
706667,GC:HCR power max release
706668,GC:HCR power max release
706669,GC:HCR power max release
706670,GC:Tandem - HCR and LOP
706671,GC:Max Flow (Winter and Conservation)
706672,Revised Daily BiOp Max Rate of Decrease
706673,Revised Daily BiOp Max Rate of Decrease
706674,ZB
706675,0.5ft Max Ramp Down at DEX
706676,Min Flow - at LOP
706677,Min Flow - at LOP
706678,Min Flow - at LOP
706679,Min Flow - at LOP
706680,Min Flow - at LOP
706681,Min Flow - at LOP
706682,Min Flow - at LOP
706683,Min Flow - at LOP
706684,Min Flow - at LOP
706685,Min Flow - at LOP
706686,Min Flow - at LOP
706687,Min Flow - at LOP
706688,Min Flow - at LOP
706689,Min Flow - at LOP
706690,Min Flow - at LOP
706691,Min Flow - at LOP
706692,Min Flow - at LOP
706693,Min Flow - at LOP
706694,Min Flow - at LOP
706695,Min Flow - at LOP
706696,Min Flow - at LOP
706697,Min Flow - at LOP
706698,Min Flow - at LOP
706699,Min Flow - at LOP
706700,Min Flow - at LOP
706701,Min Flow - at LOP
706702,Min Flow - at LOP
706703,Min Flow - at LOP
706704,Min Flow - at LOP
706705,Min Flow - at LOP
706706,Min Flow - at LOP
706707,Min Flow - at LOP
706708,Min Flow - at LOP
706709,Min Flow - at LOP
706710,Min Flow - at LOP
706711,Min Flow - at LOP
706712,Min Flow - at LOP
706713,Min Flow - at LOP
706714,Min Flow - at LOP
706715,Min Flow - at LOP
706716,Min Flow - at LOP
706717,Min Flow - at LOP
706718,Min Flow - at LOP
706719,Min Flow - at LOP
706720,Min Flow - at LOP
706721,Min Flow - at LOP
706722,Min Flow - at LOP
706723,Min Flow - at LOP
706724,Min Flow - at LOP
706725,Min Flow - at LOP
706726,Min Flow - at LOP
706727,Min Flow - at LOP
706728,Min Flow - at LOP
706729,Min Flow - at LOP
706730,Min Flow - at LOP
706731,Min Flow - at LOP
706732,Min Flow - at LOP
706733,Min Flow - at LOP
706734,Min Flow - at LOP
706735,Min Flow - at LOP
706736,Min Flow - at LOP
706737,Min Flow - at LOP
706738,Min Flow - at LOP
706739,Min Flow - at LOP
706740,Min Flow - at LOP
706741,Min Flow - at LOP
706742,Min Flow - at LOP
706743,Min Flow - at LOP
706744,Min Flow - at LOP
706745,Min Flow - at LOP
706746,Min Flow - at LOP
706747,GC
706748,GC
706749,GC
706750,ZB
706751,GC
706752,GC
706753,GC
706754,GC
706755,GC
706756,GC
706757,ZB
706758,GC
706759,GC
706760,ZB
706761,ZB
706762,ZB
706763,ZB
706764,ZB
706765,ZB
706766,ZB
706767,ZB
706768,ZB
706769,GC
706770,GC
706771,GC
706772,GC
706773,GC
706774,GC
706775,GC
706776,GC
706777,GC
706778,GC
706779,GC
706780,GC
706781,GC
706782,GC
