COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
1950,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1951,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1952,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1953,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1954,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1955,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1956,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1957,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1958,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1959,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1960,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1961,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1962,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1963,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1964,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1965,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1966,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1967,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1968,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
