MANUFACTURING EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
1950,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1951,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1952,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1953,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1954,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1955,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1956,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1957,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1958,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1959,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1960,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1961,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1962,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1963,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1964,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1965,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1966,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1967,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1968,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1969,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1970,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1971,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1972,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1973,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1974,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1975,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1976,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1977,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1978,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1979,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1980,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1981,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1982,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1983,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1984,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1985,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1986,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1987,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1988,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1989,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1990,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1991,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1992,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1993,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1994,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1995,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1996,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1997,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1998,0,0,0,0,0,0,0,0,35.040275,0,35.040275
1999,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2000,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2001,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2002,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2003,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2004,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2005,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2006,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2007,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2008,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2009,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2010,0,0,0,0,0,0,0,0,35.040275,0,35.040275
2011,0,0,0,0,0,0,0,0,36.02459,0,36.02459
2012,0,0,0,0,0,0,0,0,36.710895,0,36.710895
2013,0,0,0,0,0,0,0,0,37.3969,0,37.3969
2014,0,0,0,0,0,0,0,0,38.08924,0,38.08924
