COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
1950,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1951,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1952,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1953,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1954,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1955,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1956,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1957,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1958,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1959,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1960,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1961,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1962,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1963,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1964,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1965,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1966,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1967,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1968,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1969,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1970,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1971,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1972,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1973,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1974,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1975,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1976,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1977,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1978,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1979,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1980,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1981,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1982,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1983,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1984,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1985,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1986,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1987,0,0,0,0,0,0,0,0,218.24548,0,218.24548
1988,0,0,0,0,0,0,0,0,218.24548,0,218.24548
