UGB,UGB_NAME,ref_thresh,alt_thresh1
1,Adair Village,80,70
2,Albany/Millersburg,80,70
3,Amity,80,70
4,Aumsville,80,70
5,Aurora,80,70
6,Banks,80,70
7,Barlow,80,70
8,Brownsville,80,70
9,Canby,80,70
10,Carlton,80,70
11,Coburg,80,70
12,Corvallis/Philomath,80,70
13,Cottage Grove,80,70
14,Creswell,80,70
15,Dallas,80,70
16,Dayton,80,70
17,Detroit,80,70
18,Donald,80,70
19,Dundee,80,70
20,Estacada,80,70
22,Eugene/Springfield,72,70
23,Falls City,80,70
25,Gaston,80,70
26,Gates,80,70
27,Gervais,80,70
28,Halsey,80,70
29,Harrisburg,80,70
30,Hubbard,80,70
31,Idanha,80,70
33,Jefferson,80,70
34,Junction City,80,70
35,Lafayette,80,70
36,Lebanon,80,70
37,Lowell,80,70
38,Lyons,80,70
39,McMinnville,80,70
40,Metro,80,70
41,Mill City,80,70
43,Molalla,80,70
44,Monmouth/Independence,80,70
45,Monroe,80,70
46,Mt. Angel,80,70
47,Newberg,80,70
48,North Plains,80,70
49,Oakridge,80,70
51,Salem/Keizer,80,70
52,Sandy,80,70
55,Scio,80,70
56,Scotts Mills,80,70
57,Sheridan,80,70
58,Silverton,80,70
59,Sodaville,80,70
61,St. Paul,80,70
62,Stayton/Sublimity,80,70
64,Sweet Home,80,70
65,Tangent,80,70
66,Turner,80,70
67,Veneta,80,70
68,Waterloo,80,70
69,Westfir,80,70
70,Willamina,80,70
71,Woodburn,80,70
72,Yamhill,80,70
