REGION,PVT,PVTto,VEGCLASSfrom,VEGCLASSto,ABBREVfrom,ABBREVto,STARTAGE,ENDAGE,RNDAGE,LAI,CARBON
1,9,9,4009320,4009320,DF:Gc2,DF:Gc2,252,999,252,8.000000,0.000000
1,9,9,4002000,4004100,DF:GF,DF:Yo,1,10,2,0.500000,0.000000
1,9,9,4002100,4004400,DF:GFp,DF:Yop,1,10,3,0.500000,0.000000
1,9,9,4009210,4009210,DF:Gm1,DF:Gm1,215,500,218,8.000000,0.000000
1,9,9,4009220,4009220,DF:Gm2,DF:Gm2,215,500,219,8.000000,0.000000
1,9,9,4009110,4009110,DF:Go1,DF:Go1,215,500,220,8.000000,0.000000
1,9,9,4008410,4008410,DF:L1p,DF:L1p,140,164,146,8.000000,0.000000
1,9,9,4008320,4009320,DF:Lc2,DF:Gc2,160,251,167,8.000000,0.000000
1,9,9,4008210,4009210,DF:Lm1,DF:Gm1,140,251,148,8.000000,0.000000
1,9,9,4008220,4009220,DF:Lm2,DF:Gm2,140,251,149,8.000000,0.000000
1,9,9,4008110,4009110,DF:Lo1,DF:Go1,140,214,150,8.000000,0.000000
1,9,9,4007410,4007410,DF:M1p,DF:M1p,101,120,112,8.000000,0.000000
1,9,9,4007310,4008320,DF:Mc1,DF:Lc2,101,159,113,8.000000,0.000000
1,9,9,4007320,4008320,DF:Mc2,DF:Lc2,101,159,114,8.000000,0.000000
1,9,9,4007210,4008210,DF:Mm1,DF:Lm1,101,159,115,8.000000,0.000000
1,9,9,4007220,4008220,DF:Mm2,DF:Lm2,101,159,116,8.000000,0.000000
1,9,9,4007110,4008110,DF:Mo1,DF:Lo1,101,139,117,8.000000,0.000000
1,9,9,4005410,4005110,DF:P1p,DF:Po1,1,20,18,3.000000,0.000000
1,9,9,4005310,4006210,DF:Pc1,DF:Sm1,21,80,39,5.000000,0.000000
1,9,9,4005210,4006210,DF:Pm1,DF:Sm1,21,80,40,8.000000,0.000000
1,9,9,4005110,4006110,DF:Po1,DF:So1,21,60,41,2.500000,0.000000
1,9,9,4006410,4006410,DF:S1p,DF:S1p,61,80,62,8.000000,0.000000
1,9,9,4006320,4007320,DF:Sc2,DF:Mc2,61,120,83,8.000000,0.000000
1,9,9,4006210,4007210,DF:Sm1,DF:Mm1,61,120,84,8.000000,0.000000
1,9,9,4006220,4007220,DF:Sm2,DF:Mm2,61,120,85,8.000000,0.000000
1,9,9,4006110,4007110,DF:So1,DF:Mo1,61,100,86,8.000000,0.000000
