CURR_STATE,CURR_NAME,STARTAGE,ENDAGE,NEW_STATE,NEW_NAME,LAI
6211,PUBH,1,999,6211,PUBH,0
6212,PUBF,1,3,6212,PABF,0
6213,PUBG,1,999,6213,PUBG,0
6214,PUBK,1,999,6214,PUBK,0
6221,PABH,1,999,6221,PABH,0
6222,PABF,1,999,6222,PABF,0
62221,PABFdrying,1,2,6245,PEMA,0
6223,PABG,1,999,6223,PABG,0
6224,PABK,1,999,6224,PABK,0
6234,PUSK,1,999,6234,PUSK,0
6235,PUSA,1,999,6235,PUSA,0
6236,PUSC,1,999,6236,PUSC,0
6237,PUSE,1,999,6237,PUSE,0
6241,PEMH,1,999,6241,PEMH,1
6242,PEMF,1,999,6242,PEMF,1
6243,PEMG,1,999,6243,PEMG,1
6244,PEMK,1,999,6244,PEMK,1
6245,PEMA,1,999,6245,PEMA,1
62451,PEMAdrying,1,3,6275,PSS7A,1
6246,PEMC,1,999,6246,PEMC,1
6247,PEME,1,999,6247,PEME,1
6248,PEMD,1,999,6248,PEMD,1
6249,PEMB,1,999,6249,PEMB,1
6261,PSS6H,1,999,6261,PSS6H,2
6262,PSS6F,1,999,6262,PSS6F,2
6263,PSS6G,1,999,6263,PSS6G,2
6264,PSS6K,1,999,6264,PSS6K,2
6265,PSS6A,1,999,6265,PSS6A,2
6266,PSS6C,1,999,6266,PSS6C,2
6267,PSS6E,1,999,6267,PSS6E,2
6268,PSS6D,1,999,6268,PSS6D,2
6269,PSS6B,1,999,6269,PSS6B,2
6271,PSS7H,1,999,6271,PSS7H,2
6272,PSS7F,1,999,6272,PSS7F,2
6273,PSS7G,1,999,6273,PSS7G,2
6274,PSS7K,1,999,6274,PSS7K,2
6275,PSS7A,1,10,6275,PFO7C,2
6276,PSS7C,1,999,6276,PSS7C,2
6277,PSS7E,1,999,6277,PSS7E,2
6278,PSS7D,1,999,6278,PSS7D,2
6279,PSS7B,1,999,6279,PSS7B,2
6281,PFO6H,1,999,6281,PFO6H,3
6282,FPO6F,1,999,6282,FPO6F,3
6283,PFO6G,1,999,6283,PFO6G,3
6284,PFO6K,1,999,6284,PFO6K,3
6285,PFO6A,1,999,6285,PFO6A,3
6286,PFO6C,1,999,6286,PFO6C,3
6287,PFO6E,1,999,6287,PFO6E,3
6288,PFO6D,1,999,6288,PFO6D,3
6289,PFO6B,1,999,6289,PFO6B,3
6291,PFO7H,1,999,6291,PFO7H,3
6292,PFO7F,1,999,6292,PFO7F,3
6293,PFO7G,1,999,6293,PFO7G,3
6294,PFO7K,1,999,6294,PFO7K,3
6295,PFO7A,1,999,6295,PFO7A,3
6296,PFO7C,1,999,6296,PFO7C,3
6297,PFO7E,1,999,6297,PFO7E,3
6298,PFO7D,1,999,6298,PFO7D,3
6299,PFO7B,1,999,6299,PFO7B,3
