WATERRIGHTID,X,Y,PODID,POUID,PERMITCODE,PODRATE,USECODE,PRIORITYDOY,YEAR,BEGINDOY,ENDDOY,REACHCOMID,LENGTH_OR_COMID,SPECIAL,CERTIFICATE
17460,510888.7,4929354.14,24674,-36,2,10,1024,1,1801,1,365,-99,-99,0,-99
17559,510592.5081,4999937.626,24612,-71,4,46.5756,1024,1,1801,1,365,-99,-99,0,-99
17580,485930.69,4901201.54,24686,-29,4,0.74,1024,1,1801,1,365,-99,-99,0,-99
18431,501117.34,4915269.75,24734,-8,2,0.67,1024,1,1801,1,365,-99,-99,0,-99
20999,510974.46,4925295.19,24634,-59,4,0.65,1024,1,1801,1,365,-99,-99,0,-99
21207,512946,5007752.31,24704,-18,2,0.78,1024,1,1801,1,365,-99,-99,0,-99
21275,526391.23,4987169.29,24642,-56,4,0.73,1024,1,1801,1,365,-99,-99,0,-99
21770,508255.01,4994687.04,24688,-27,4,2.3666,1024,1,1801,1,365,-99,-99,0,-99
22716,483907.08,4896782.25,24681,-34,4,3.15,1024,1,1801,1,365,-99,-99,0,-99
23337,512471.21,4950724.51,24643,-55,4,1.78,1024,1,1801,1,365,-99,-99,0,-99
35823,525116.08,4984187.29,24635,-58,2,10,1024,1,1801,1,365,-99,-99,0,-99
42015,573643,4948280,24684,-31,2,0.47,1024,1,1801,1,365,23780595,-99,0,-99
42397,532537,4999662,24660,-43,2,3,1024,1,1801,1,365,-99,-99,0,-99
42485,461079.11,4992402.53,24613,-70,2,1.45,1024,1,1801,1,365,-99,-99,0,-99
44360,472606.02,5016838.21,24727,-10,2,2.5,1024,1,1801,1,365,-99,-99,0,-99
45015,556595,5027516,24644,-52,2,0.3,1024,1,1801,1,365,-99,-99,0,-99
45110,487283.59,4942765.85,24748,-1,2,82,1024,1,1801,1,365,-99,-99,0,-99
45984,483985,4995841,24744,-3,2,1,1024,1,1801,1,365,-99,-99,0,-99
46977,473617.3,5030914.64,24607,-72,2,0.6,1024,1,1801,1,365,-99,-99,0,-99
47681,546588.37,4955818.81,24689,-26,2,0.75,1024,1,1801,1,365,-99,-99,0,-99
48106,522468.5,5011976.82,24733,-9,2,10,1024,1,1801,1,365,-99,-99,0,-99
48954,529287.53,4959543.27,24670,-38,2,3.8,1024,1,1801,1,365,-99,-99,0,-99
50814,518071.62,4960441.53,24625,-62,2,25,1024,1,1801,1,365,-99,-99,0,-99
57732,491059.14,5057898.34,24739,-6,2,0.42,1024,1,1801,1,365,-99,-99,0,-99
67569,493716,4878556,24695,-22,2,27.08,1024,1,1801,1,365,-99,-99,0,-99
69013,494310.83,5012663,24677,-35,2,0.33,1024,1,1801,1,365,-99,-99,0,-99
76111,517806.82,4862544.97,24673,-37,2,1,1024,1,1801,1,365,-99,-99,0,-99
78862,552470.58,5014521.08,24701,-20,2,2,1024,1,1801,1,365,-99,-99,0,-99
84609,510259.16,4965334.89,24743,-4,4,1.036,1024,1,1801,1,365,-99,-99,0,-99
85587,568521.16,4953708.87,24705,-17,2,0.25,1024,1,1801,1,365,-99,-99,0,-99
85734,460833.46,4930471.55,24720,-12,2,4.7,1024,1,1801,1,365,23762881,-99,0,-99
86488,464057.43,5007549.96,24636,-57,2,0.07,1024,1,1801,1,365,-99,-99,0,-99
101987,495352.17,5011083.38,24708,-16,2,0.11,1024,1,1801,1,365,-99,-99,0,-99
131839,501901.34,5006153.78,24633,-61,4,1.49,1024,1,1801,1,365,-99,-99,0,-99
133495,503061.08,5014152.32,24655,-47,4,26.688,1024,1,1801,1,365,-99,-99,0,-99
134079,516177.8,4990931.89,24656,-46,4,3.45,1024,1,1801,1,365,-99,-99,0,-99
135180,462760.68,4972418.14,24710,-15,2,10,1024,1,1801,1,365,-99,-99,0,-99
136945,491161.4,4914073.6,24687,-28,4,0.5,1024,1,1801,1,365,-99,-99,0,-99
142363,540816.66,4845536.54,24614,-69,2,1,1024,1,1801,1,365,-99,-99,0,-99
144827,463077.73,4964314.89,24694,-23,4,3,1024,1,1801,1,365,-99,-99,0,-99
145069,524352,5016976,24661,-40,2,636.5,1024,1,1801,1,365,-98,-99,0,-99
147294,476391.32,4906748.51,24657,-45,2,0.78,1024,1,1801,1,365,-99,-99,0,-99
147761,493141,4942404,24746,-2,2,14.5,1024,1,1801,1,365,23762843,-99,0,-99
160162,514926.3,5002871.79,24685,-30,4,2.971,1024,1,1801,1,365,-99,-99,0,-99
165272,500373.45,4862354.22,24711,-14,2,3,1024,1,1801,1,365,-99,-99,0,-99
169411,471987.39,5017558.14,24669,-39,2,636.5,1024,1,1801,1,365,-98,-99,0,-99
170378,498020.13,4848675.36,24713,-13,2,6.2,1024,1,1801,1,365,-99,-99,0,-99
172752,494364.2668,4886524.163,24726,-11,2,2,1024,1,1801,1,365,-99,-99,0,-99
173160,519286.87,5008006.76,24742,-5,2,1.8358,1024,1,1801,1,365,-99,-99,0,-99
173693,498714.92,4952108.38,24682,-33,2,1.89,1024,1,1801,1,365,-99,-99,0,-99
174448,473508,4877509,24616,-67,4,1.78,1024,1,1801,1,365,-99,-99,0,-99
175543,518757,4960336,24648,-51,2,62,1024,1,1801,1,365,23780475,-99,0,-99
176060,526263.84,4918039.86,24619,-64,2,7,1024,1,1801,1,365,-99,-99,0,-99
1000007,521783,5011044,24738,-7,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000019,499264,5013659,24703,-19,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000025,488633,5031149,24693,-25,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000044,483274,4966590,24659,-44,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000048,500393,5049321,24654,-48,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000049,543195,4843805,24653,-49,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000065,491497,4933331,24618,-65,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000066,503848,4966169,24617,-66,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
1000068,514019,4926761,24615,-68,4,636.5,1024,1,1801,1,365,-99,-99,0,-99
21709,476621.42,4906667.68,24658,-45,4,0.45,1024,1,1802,1,365,-99,-99,0,-99
24948,496419,4971199,24649,-51,4,0.5013,1024,1,1802,1,365,-99,-99,0,-99
47462,510992.19,4929180.84,24675,-36,2,18,1024,1,1802,1,365,-99,-99,0,-99
48655,500904.23,4915198.82,24735,-8,2,0.58,1024,1,1802,1,365,-99,-99,0,-99
49528,546588.78,4955819.24,24690,-26,2,0.75,1024,1,1802,1,365,-99,-99,0,-99
99633,495192.29,5009905.49,24709,-16,4,14.2,1024,1,1802,1,365,-99,-99,0,-99
102967,552392.99,5014540.15,24702,-20,2,2,1024,1,1802,1,365,-99,-99,0,-99
114352,479522,4995626,24745,-3,2,0.475,1024,1,1802,1,365,-99,-99,0,-99
120870,493716,4878556,24696,-22,2,90,1024,1,1802,1,365,-99,-99,0,-99
147761,499412.34,4948325.24,24747,-2,2,14.5,1024,1,1802,1,365,23780425,-99,0,-99
148561,530161.62,4959603.38,24671,-38,2,0.6,1024,1,1802,1,365,-99,-99,0,-99
150430,491319.55,5057454.78,24740,-6,2,0.09,1024,1,1802,1,365,-99,-99,0,-99
156056,498054.57,4848716.81,24714,-13,2,4,1024,1,1802,1,365,-99,-99,0,-99
168937,500396.15,4862380.81,24712,-14,2,2,1024,1,1802,1,365,-99,-99,0,-99
169379,476724.84,5028993.98,24608,-72,2,0.325,1024,1,1802,1,365,-99,-99,0,-99
169604,568625.51,4953772.4,24706,-17,2,1,1024,1,1802,1,365,-99,-99,0,-99
173101,492756,5037673,24662,-40,2,75,1024,1,1802,1,365,-99,-99,0,-99
173694,498714.92,4952108.38,24683,-33,2,1.2,1024,1,1802,1,365,-99,-99,0,-99
176061,526263.84,4918039.86,24620,-64,2,3.51,1024,1,1802,1,365,-99,-99,0,-99
18431,501117.34,4915269.75,24736,-8,2,0.67,1024,1,1803,1,365,-99,-99,0,-99
20647,491695.13,5051961.72,24741,-6,4,1.67,1024,1,1803,1,365,-99,-99,0,-99
24948,497191,4972414,24650,-51,4,0.3008,1024,1,1803,1,365,-99,-99,0,-99
43309,502860.2,4879787.5,24697,-22,2,183,1024,1,1803,1,365,-99,-99,0,-99
44348,568694.09,4955667.41,24707,-17,2,1,1024,1,1803,1,365,-99,-99,0,-99
66130,523624,4916548,24621,-64,2,0.6,1024,1,1803,1,365,-99,-99,0,-99
80850,546588.78,4955819.24,24691,-26,2,0.1,1024,1,1803,1,365,-99,-99,0,-99
88096,493683.2,5011529.99,24678,-35,2,0.08,1024,1,1803,1,365,-99,-99,0,-99
101786,510992.19,4929180.84,24676,-36,2,9,1024,1,1803,1,365,-99,-99,0,-99
109496,517945.15,4960506.06,24626,-62,2,7,1024,1,1803,1,365,-99,-99,0,-99
133611,534350,5027241,24665,-40,2,25,1024,1,1803,1,365,-99,-99,0,-99
